entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
usini7,rusini',-u-si-ni7,EJG;JLC;RLC;VP,vA:caus,A,NO,1987,"To make someone talk, referring to the practice whereby a prayer woman or man accompanies a dying person, prays for them, tells them what will happen when they die and which river they will cross, and also makes them pray, sing, or talk so that they can die well.","Hacer hablar, dicho de la práctica mediante la cual una rezadora o un rezador acompaña a una persona agonizante, le reza, le cuenta qué va a pasar cuando muera y qué río va a atravesar, y también le hace rezar, cantar, o hablar para que pueda morir bien.",cultural practices,,RLC,r.u-si-ni7,g.u-si!-ni7,bi-si-ni7,,,,,,3,1,Rusini' (Fán) ni má cayáti.,Juan hace hablar a los moribundos (para que hablen su pena y descansen en paz).,,
usinigi7ri,rusinigui'ri',-u-si-ni=gi7ri,EJG;RLC;VC;VP,vA:caus,A,NO,1988,"To enter into a kinship relationship by way of lighting candles during the marriage ceremony. For a marriage ceremony, people close to the bride and groom are selected and asked to gift important elements of the ceremony. These chosen people then enter a close relationship of support with the bride, the groom and their parents that is as strong as a kinship relationship.","Apadrinar una boda, hacerse padrino(a) de velación.",cultural practices,,RLC,r.u-si-ni-gi7ri,g.u-si!-ni gi7ri,bi-si-ni-gi7ri,,,,,,3,3,Guendarusinigui'ri'.,Acto de apadrinar de relación.,Gusíni gui'ri' Fàna nè Fán Pèdru.,Juana y Juan van a ser padrinos de velación (para la boda) de Pedro.
usiniisi,rusiniisì',-u-si-niisi*,EJG;JLC;RLC;VP,vA:caus,A,NO,1989,"To raise, to rear, ex. a child.",Criar.,actions,,,r.u-su-niisi*,g.u-su!-niisi*,bi-su-niisi*,,,,,,3,1,Bisuniisì' nè Fán Fàna xhiiñi'.,"Crió Juan al hijo de Juana (porque cuando se juntó Juan con Juana, Juana ya tenía a su hijo y Juan lo vio crecer).",,
usiniti,rusiniti,-u-si-niti,RGL;RLC,vA:caus,A,NO,1990,To cause to be lost.,Hacer que se pierda o se extravíe.,actions,,,r.u-si-niti,g.u-si!-niti; ~ g.u-su!-niti,bi-si-niti; ~ bi-su-niti,,,,,,3,1,Bisinitibe relój.,Perdió el reloj.,,
usipaampa,rusipaàmpà',-u-si-paa*mpa*,RLC,vA:caus,A,NO,1991,"To cause to become smooth or flat, to clear out or strip as to be made smooth or flat.","Hacer que se alise, que se nivele, o que se limpie de manera que quede liso.",actions,,RGL,r.u-si-paa*mpa*,g.u-su!-paa*mpa*,bi-su-paa*mpa*,,,,,,3,1,Má bisupaàmpà' ra jñaa.,Ya limpio su parcela.,,
usipaapa,rusipaapa',-u-si-paapa,JLC;RLC,vA:caus,A,NO,1992,To cause to stutter.,Hacerlo tartamudear (lit. hacerlo tartamudo).,actions,,,r.u-si-paapa,g.u-si!-paapa,bi-si-paapa,,,,,,3,1,Rusipaapa'ca'be ruaa ba'du' òra rigapàca'be ruaa.,Hacen tartamudear a los niños cuando les pegan en la boca.,,
usipaaxu,rusipaaxhù',-u-si-paaxu*,EJG;RLC;VP,vA:caus,A,NO,1993,"To crush, to deform (lit. to cause to become crushed).","Aplastar, abollar, deformar (lit. hacerlo aplastado).",actions,,EJG;JLC;ND;RGL;RLC,r.u-si-paaxu*,g.u-si!-paaxu*,bi-su-paaxu*,,,,,,3,1,Bisupaaxhù' gui xiga de náylo.,La lumbre derritió la bandeja de plástico.,,
usipapa,rusipapa,-u-si-papa,RLC,vA:caus,A,NO,1994,To cause to fly.,Hacer volar.,actions,,,r.u-zi-papa,g.u-su!-papa,bi-su-papa,,,,,,3,2,Rusupapa ba'du' papalòte.,El niño hace volar el papalote.,Rusupapa òmbre cá (gue)ndabiaani' xtìbe.,El hombre le hace perder el juicio.
usipoota,rusipoòtà',-u-si-poo*ta*,RLC,vA:caus,A,NO,1995,"To cause to become big, in the sense of gaining weight.","Hacer que se agrande, en el sentido de engordar.",actions,,,r.u-si-poo*ta*,g.u-si!-poo*ta*,bi-si-poo*ta*,,,,,,3,1,Bisupoòtà' gueta laabe.,Lo engordó la tortilla.,,
usira,rusira,-u-si-ra,EJG;RLC;VP,vA:caus,A,NO,1996,To make something run out or be consumed.,"Acabarlo, agotarlo, consumirlo.",actions,,,rusir!a [CK-ORTH]; ~ r.u-si-ra; ~ r.u-su-ra,g.u-si!-ra,bi-si-ra,,,z.u-si-ra,,,4,3,Bisirabeni.,Se lo acabó.,Bisira buèltu.,Hizo que se acabara el dinero.
