entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
ywa7,rua'  ~ riua',-(y.)wa7,JLC;ND;RGL;RLC;VP,vA~B:t,A~B,NO,392,To carry.,Cargar.,actions,,,r.wa7; ~ r.ywa7,g.wa*7,gu-ywa7; ~ b.ywa7,,,,n.wa*7,,4,5,Ndaani' chál stì' nuánì.,Lo lleva cargado en su rebozo.,Ndaani' dxùmì nuábeni.,Lo trae cargado en una canasta.
a,ra,-a,EJG;RLC;VP,vA:i,A,NO,393,For fruit to ripen.,Madurarse un fruta.,actions,,,r.a,g.a*,bi.ya,ka-y.a,,z.a,,,5,3,Cayá màngu.,Está madurando el mango.,Gàni.,Que se madure.
a7de,ra'de',-a7de,EJG;JLC;ND;VP,vC:t,C,NO,394,To be gifted something.,"Regalarse, obsequiarse.",actions,,,r.a7de,g.a!7de; () ~ g.ade!7 (I),gu.7de,ka-y.a!7de,,z.a7de,,,5,6,Cayá'de'.,Está recibiendo regalos.,Cayá'de'beni.,Lo está recibiendo de regalo.
a7ga,ra'ga',-a7ga,EJG;JLC;ND;VP,vC:i,C,NO,395,To get stuck.,"Atorarse, atascarse.",change of state,,,r.a7ga,g.aga!7 (I),gu.7ga,ka-y.a!7ga,,,ny.a!7ga,,5,6,Gu'ga' gueta yanné'.,Se me atoró la tortilla en el pescuezo.,Gu'ga'ni yannibe.,Se le le atoró en la garganta.
a7gi,ra'gui',-a7gi,EJG;JLC;ND;RGL;VP,vC:i,C,NO,396,"To be cooked, including various cooking techniques such as broiling, browning and frying.","Cocerse, incluyendo varias técnicas de cocción como por ejemplo, asarse, dorarse y freírse.",food,,,r.a7gi,g.agi!7 (I),gu.7gi,ka-y.a!7gi,,z.a7gi,,,5,3,Gaguí'ni.,Que se cueza.,Gu'gui' lu gui.,Asado en la brasa.
a7sa1,ra'sa',-a7sa,EJG;JLC;ND;RGL;RLC;VP,vC:t,C,NO,397,To chew.,"Mascar, masticar.",actions,,,r.a7sa,g.asa!7,gu.7sa,,,,ny.a!7sa,,4,6,Món nábé ra'sa' yaalà'.,Mon mastica mucho chicle.,Ra'sa'beni.,Lo mastica.
a7sa2,ra'sa',-a7sa,EJG;JLC;ND;RLC,vC:i,C,NO,398,"To be stuck, to be jammed, to be wedged in.","Atorarse, encajarse.",states,,,r.a7sa,g.asa!7,gu.7sa,,,,,,3,5,Gu'sa' bòla ladè yaga.,Se atoró la pelota entre las ramas del árbol.,Má gu'sa'be ladè yaga.,Se atoró entre los palos.
a7ta,ra'ta',-a7ta,EJG;JLC;ND;RGL;RLC;VP,vC:i,C,NO,399,To lie down in order to fall asleep.,Acostarse para dormir.,actions,,,r.a7ta,g.ata!7,gu.7ta,ka-y.a!7ta,,z.a7ta,ny.a!7ta,ri! g.ata!7 ~ re! g.ata!7,7,6,Chígatá'be.,Que se vaya a acostar.,Má gu'ta' Mariá.,María ya se acostó (para dormir).
a7taninyu,ra'ta' nìñu,-a7ta ni*nyu,EJG;RLC,vC:i,C,NO,400,To lay down Baby Jesus in a Nativity scene.,Acostar al Niño Jesús en el pesebre de Navidad.,cultural practices,,,r.a7ta ni*nyu,g.ata!7 ni*nyu,gu.7ta ni*nyu,ka-y.a!7ta ni*nyu,,,,,4,2,Má gu'ta' nìñucabe cue' yoo.,Ya acostaron al Niño Jesús en el rinconcito de la casa.,Má' gu'ta' xhnìñucabe cue' yoo.,Ya acostaron al Niño Jesús en el rinconcito de la casa.
a7tabidxichi,ra'ta'bidxichi,-a7ta=bi-dxichi,EJG;ND;RLC,vC:i,C,NO,401,To contribute funds (lit. for money to lie down).,Cooperar con dinero (lit. acostarse el dinero).,actions,,,,g.ata!7=bi-dxichi;  r.a7ta=bi-dxichi;  gu.7ta=bi-dxichi,,ka-y.a!7ta=bi-dxichi,,,,,2,1,Cayá'ta'bidxichi lu mexá'.,Se está poniendo el dinero sobre la mesa (ej. para cooperar para una boda).,,
a7tabweltu,ra'ta'buèltu,-a7ta=bwe*ltu,EJG;ND;RLC,vC:i,C,NO,402,To contribute funds (lit. for money to lie down).,Cooperar con dinero (lit. acostarse el dinero).,actions,vuelto,,r.a7ta=bwe*ltu,g.ata!7=bwe*ltu,gu.7ta=bwe*ltu,ka-y.a!7ta=bwe*ltu,,,,,4,1,Cayá'ta'buèltu lu mexá'.,Se está poniendo el dinero sobre la mesa (ej. para cooperar para una boda).,,
a7tadxi,ra'ta'dxi,-a7ta=dxi,EJG;ND;RLC,vC:i,C,NO,403,For a date to be set (lit. for a day to lie down).,Fijarse la fecha (lit. acostarse el día).,change of state,,,r.a7ta=dxi,g.ata!7=dxi,gu.7ta=dxi,ka-y.a!7ta dxi,,z.a7ta=dxi,,,5,5,Cayá'ta' dxi.,Se está acordando el plazo.,Gu'ta' dxi para chà' dxiiña'.,Se fijo la fecha para ir a trabajar.
a7tadxi-2,ra'ta'dxì,-a7ta=dxi*,EJG;ND;RLC,vC:i,C,NO,404,"To calm down, to quiet down.","Calmarse, tranquilizarse.",change of state,,,r.a7ta=dxi*,g.ata!7=dxi*,gu.7ta=dxi*,,,z.a7ta=dxi*,,,4,4,Cayá'ta'dxì.,Se está calmando.,Má gu'ta'dxìbe.,Ya se tranquilizó.
a7tagudaa,ra'ta'gudaà,-a7ta=gu-daa*,EJG;JLC;ND;RGL;VP,vC:i,C,NO,405,"To duck under, to bend down.",Agacharse.,actions,,,r.a7ta=gu-daa*; ~ r.a7ta=du-gaa*,g.ata!7=gu-daa*,gu.7ta=gu-daa*; ~ gu.7ta=du-gaa*,,,z.a7ta=gu-daa*,,,4,5,Gu'ta'gudaàbe.,Se agachó.,Gu'ta'gudaà Fán.,Se agachó Juan.
a7takwe7,ra'ta'cue',-a7ta=kwe7,EJG;JLC;ND;RGL;RLC,vC:i,C,NO,406,"To lean, to tilt, to cant, to lie sideways or on one side.","Cantearse, inclinarse, ladearse, hacerse o ponerse de lado.",body parts,,,r.a7ta=kwe7,g.ata!'=kwe7,gu.7ta=kwe7,,,z.a7ta=kwe7,ny.a!7ta=kwe7,,5,6,Cádí' gu'ta'cue'dí'ni.,No se ha colocado de lado.,Gu'ta'cue' Fán.,Juan se acostó de lado.
a7tana,ra'ta'na,-a7ta=na,EJG;JLC;ND;RGL;RLC;VP,vC:i,C,NO,407,"To be awake, to pull an all-nighter, to stay alert.","Estar despierto, desvelarse, mantenerse alerta, ponerse vivo.",states,,,r.a7ta=na,g.ata!7=na,gu.7ta=na,,,,,,3,4,Gatá'nà.,Que se ponga vivo.,Gu'ta'na.,¡Ponte viva!
a7tarilu,ra'ta'rilu,-a7ta=ri+ lu,EJG;JLC;RGL;RLC;VC,vC:i,C,NO,408,"To lie belly down, to turn upside down.",Acostarse o echarse boca abajo.,actions,,,r.a7ta=ri+ lu,g.ata!7=ri+ lu,gu.7ta=ri+ lu,,,z.a7ta=ri+ lu,ny.a!7ta=ri+ lu,,5,4,Má gu'ta'rilube guisu.,Ya volteó la olla (i.e. que ya no puede tener hijos por la edad o por ligarse las trompas).,Má gu'ta'rilu guisu.,Ya volteó la olla (ya no puede tener hijos).
a7tasa,ra'ta'sa,-a7ta=sa,EJG;JLC;ND;RGL;RLC,vC:i,C,NO,409,To lie on one's back.,Acostarse boca arriba.,actions,,,r.a7ta=sa,g.ata!7=sa,g.u7ta=sa,,,,,,3,3,Gu'ta'sa Fán.,Juan se acostó boca arriba.,Ra'ta'sa Fàna lu luuna'.,Se acuesta Juana boca arriba en la cama de penca.
a7tata7,ra'ta'ta',-a7ta=ta7,EJG;RLC,vC:i,C,NO,410,To lie down doing nothing.,Estar echado sin hacer nada.,states,,,r.a7ta=ta7,g.ata!7=ta7,gu.7ta=ta7,,,,,,3,1,Ra'ta'ta' nachaaba'deete'.,Se tira (sin hacer nada) de tanto que es flojo.,,
a7tazhya,ra'ta'xià,-a7ta=zhya*,RLC,vC:i,C,NO,411,For residue to settle at the bottom of a container.,Depositarse residuos en el fondo de un recipiente.,motion,,,r.a7ta=zhya*,g.ata!7=zhya*,gu.7ta=zhya*,,,,,,3,1,Gu'ta'xià cuba.,Se asentó el pozol.,,
aana,raana',-aana,EJG;JLC;ND;RLC;VP,vB:t,B,NO,412,"To plow; to clear the vegetation in a plot of land, especially prior to plowing.","Barbechar, limpiar un terreno de siembra.",cultivation,,,r.aana,g.a!7na (I),gu.una,ka-y.a!ana,,z.aana,,,5,6,Cayáana Rìlu layu xtì'.,Rilo está barbechando su terreno.,Naa raaná' layu xtinné'.,Yo barbecho mi terreno.
aande,raande',-aande,VC,vA:i,A,NO,413,"Nixtamalization, the process through which corn kernels are cooked in water and lime prior to grinding into dough for tortilla baking.",Cocerse el maíz para nixtamal.,processes,,,r.aande,gya!ande,,,,,,,2,1,Raande'.,Se cuece (el nixtamal).,,
aani,raani',-aani,EJG;JLC;ND;VC;VP,vB:t,B,NO,414,To load weight on something.,Recargar peso sobre algo.,change of state,,,r.aani,g.a!7ni (I),gu.uni,,,"z.aani; 
  ri-gaani* ~ re-gaani*",,,4,6,Cayaani' ti guie luguia' ti manichuga.,Una roca está aplastando a un insecto.,Cayáani' Tóy neza derèchu.,Toy se está inclinando a la derecha.
aanina7,raani'nà',-aani=na*7,EJG;JLC;ND;RLC;VC;VP,vC:t,C,NO,415,"To press with the hand. By extension, to oppress someone, to go after someone, to be cruel towards someone.","Oprimir con la mano. Por extensión, oprimir a alguien, atosigarlo, ensañarse con alguien.",actions,,,r.aani=na*7,g.a!7ni=na*7,gu.uni=na*7,,,,,,3,4,"Cayaàné' nà'yá' lii, tì quí ruzuuba'lu' diidxa'.","Te estoy castigando, porque eres desobediente.",Guuni'noú' stalè zidi.,Te pasaste de mano con la sal.
abi,rabi,-abi,EJG;JLC;ND;RLC;VP,vCirr:a,C,YES,416,"To say, tell, or communicate to someone.","Decirle, contarle, comunicarle, avisarle, notificarle.",interaction,,,r.abi,g.a*bi,gu.dxi,,,,,,3,5,Biché' zabi naa guirà' ni gá'bu' laa.,Mi hermano me dirá todo lo que tú le digas.,Elèna rabi xheela' má cádi xùdxi.,Elena le dice a su esposo que ya no se emborrache.
abidiidxagidxa,rabi diidxa' guìdxa,-abi # diidxa gi*dxa,JLC,vCirr:t,C,YES,417,"To insult someone, to offend someone.","Insultarle, ofenderle.",communication,,,r.abi # diidxa gi*dxa,g.a*bi # diidxa gi*dxa,gu.dxi # diidxa gi*dxa,,,,,,3,4,"Amá, cayábi Àli naa diidxa' guìdxa.","Mamá, Ali me está diciendo groserías.",Diidxa' guìdxa gudxi Fán naa.,Juan me dijo groserías.
abi-2,rabì,-abi*,EJG;JLC;ND;RGL;RLC;VP,vC:a,C,NO,418,"To swallow, to ingest, to gulp down.","Tragar, engullir, deglutir.",actions,,,r.abi*,g.a*bi* (I),gu.bi*,,,,,,3,6,Guirà' má gubì.,Ya tragaron todo.,"José racala'dxi' guianda, zabì guirà' ni gá'bu' laa.","José quiere curarse, tomará todo lo que le digas."
abiabisi,rabì rabìsì,-abi* -abi* +si*,RGL;RLC,vC:a,C,NO,419,To gulp down without chewing,Tragar sin masticar.,actions,,,r.abi* r.a^bi* +si*,g.a*bi* g.a*bi* +si*,gu.bi* gu^.bi* +si*,,,,,,3,5,Gàbì gàbìsì.,Que se atragante (sin masticar dado que tiene prisa).,Gubì gubì.,Come sin masticar (para que puedas comer aunque tengas prisa).
ache,rache,-ache,EJG;JLC;ND;RGL;RLC;VP,vC:i,C,NO,420,"To burst, to explode, as when mosquitos swarm or an egg shell breaks as a bird hatches. By extension, to exude, to fester, to ejaculate.","Reventarse, explotar, o brotar, como cuando revientan los mosquitos o cuando rompe el cascarón un pajarito. Por extensión, exudar, supurar, eyacular.",change of state,,,r.ache,g.ache!7 (I),gu.che,,,z.ache,ni-ya!che,,5,5,Cayáche ra laga Juán.,Le está saliendo lagaña a Juan.,Guchebe sarampión.,Le dio sarampión; Le brotó el sarampión.
achelu,rache lu,-ache # lu,EJG;ND;RGL;RLC;VC,vC:i,C,NO,421,"For the eye to have discharge. This is considered an ailment associated with heat, that is not contagious, that affects children who have tonsillitis and causes their eyelids to shut closed. It can be treated by rinsing the eye with chamomille tea. It is also considered to resolve as the tonsillitis subsides.","Supurarle el ojo. Se considera que es una enfermedad caliente, no contagiosa, que afecta a los niños cuando tienen anginas y hace que se les peguen los párpados. Para curarlo se lava el ojo con té de manzanilla. También se considera que se resuelve cuando se curan las anginas.",wellness,,,r.ache # lu,g.ache!7 # lu,gu.che # lu,,,z.ache # lu,,,4,4,Cayáche lube.,Le está saliendo lagaña.,Cayáche lu Fán.,A Juan le está saliendo lagañas en los ojos.
achereza,rache rireza,-ache -reza,JLC,vC:i # vB:i,C,NO,422,To split open upon bursting.,Partirse al reventarse.,change of state,,,r.ache ri-reza,g.ache!7 gi-re!za,gu.che gu-reza,,,,,,3,5,Guche gureza layu.,Se partió la tierra (ej. porque no ha llovido).,Guche gureza ñee Mariá.,Se partió el talón del pie de María.
ache-2,rachè,-ache*,EJG;JLC;ND;RLC;VP,vC:i,C,NO,423,"To break, to split. It may be used in relation to wooden objects, ex. a stick, a table, a pencil, or other hard objects such as a computer.","Quebrarse, romperse, partirse, troncharse. Se puede usar en referencia a objetos de madera, ej. un palo, una mesa, un lápiz, o un objeto duro como una computadora.",change of state,,,r.ache*,g.a*che*,gu.che*,,,z.ache*,,,4,4,Guchè guiiba' xtì'ni.,Su parte de metal (de la computadora) se rompió.,Guchè ñee mexá'.,Se rompió la pata de la mesa.
achextiidxa,rachè xtiidxa',-ache* # x.tiidxa,RLC,vC:i,C,NO,424,To acquiesce.,Ceder.,change of state,,,r.ache* # x.tiidxa,g.a*che* # x.tiidxa,gu.che* # x.tiidxa,,,,,,3,4,Guchè xtiidxa' Fán.,Juan se convenció (lit. rompió sus palabras).,Quí rachèdí' xtiidxa'lu'.,No rompes tu palabra (por terco/a).
achelu-2,rachelu,-ache=lu,EJG;JLC;ND;VP,vC:t,C,NO,425,"To desire, to covet, to be after something.","Desear, codiciar, andar tras algo.",emotion,,,r.ache=lu,g.ache!7=lu,gu.che=lu,,,z.ache=lu,,,4,6,Cayáché'luá' layu xtì' Mario.,Yo codicio el terreno de Mario.,Cayácheludu layu xtì' Mario.,Codiciamos el terreno de Mario.
achendu,rachendu,-ache=ndu,EJG;ND;RLC;VC,vC:i,C,NO,426,To sprout.,"Germinar, brotar.",plants,,,r.ache=ndu,g.ache!7=ndu  (I),gu.che=ndu,,,z.ache=ndu,,,4,4,Guchendu xubá' xti' Fán.,Brotó el maíz de Juan.,Nabé rachenduni.,Brota bastante.
achenisarwaa,rachenisa ruaa,-ache=nisa # rwaa,EJG;RLC,vC:i,C,NO,427,For one's mouth to water.,Hacérsele agua la boca.,actions,,,r.ache=nisa # rwaa,g.ache!7=nisa # rwaa,gu.che=nisa # rwaa,,,z.ache=nisa # rwaa,,,4,4,Guche nisa ruaabe.,Se le hizo agua la boca.,"Guchenisa ruaadu, naa nè Réyna.",Se nos hizo agua la boca a mí y a Reyna.
achexki7,rachexqui',-ache=x.ki7,EJG;JLC,vC:i,C,NO,428,"To burst open under pressure, as when fruit is squashed and breaks open.","Tronarse, como la fruta que se aplasta.",plants,,,r.ache=x.ki7,g.ache!7=x.ki7,gu.che=x.ki7,,,z.ache=x.ki7,,,4,1,Guchexqui' bichooxhè'.,Se apachurró (lit. destripó) el tomate.,,
achexki7xkula7,rachexqui' xculà',-ache=x.ki7 x.ku-la*7,RLC,vC:i,C,NO,429,"This is an ailment associated with heat that can happen after experiencing significant anger. The person turns red or purple, then yellow, throws up bitter and yellow vomit, can faint and even die. This requires medical treatment and pharmaceutical medication.","Derramarse la bilis. Esto le ocurre a las personas que se enojan demasiado. La persona se pone colorada o morada, luego amarilla, vomitan amargo y amarillo, se puede desmayar o hasta morirse. Se considera una enfermedad caliente, no contagiosa. Para su cura hay que acudir al doctor y tomar medicamento de farmacia.",wellness,,,r.ache=x.ki7 x.ku-la*7,g.ache!7=x.ki7 x.ku-la*7,gu.che=x.ki7 x.ku-la*7,,,z.ache=x.ki7 x.ku-la*7,,,4,2,Guchexqui' xculà'.,Se le reventó la bilis (de coraje).,Guchexqui' xculà'be.,Se le derramó la bilis.
acheyuuba,racheyuuba',-ache=yuuba,EJG;JLC;VP,vC:i,C,NO,430,For bones to crack or for the body to be achy.,Tronar los huesos o doler el cuerpo.,actions,,,r.ache=yuuba,g.ache!7=yuuba,gu.che=yuuba ,,,,,,3,4,Gucheyuuba' Fán.,Le tronaron los huesos a Juan.,Qué racheyuuba'dí' ruaa Fán.,No le crujen los dientes a Juan.
achezhniidxi,rachexniìdxì',-ache=zh.nii*dxi*,EJG;RGL;RLC,vC:i,C,NO,431,"For lactation to suddenly stop on an infant, as when the mother becomes pregnant. This expression can also be used to refer to the malnourished aspect that the child might develop as a result.","Interrumpírsele la lactación a un infante, como cuando la madre está embarazada. Por lo mismo, este compuesto puede usarse para describir el aspecto de malnutrido que pudiera desarrollar el infante.",wellness,,,r.ache*=zh.nii*dxi*,g.a*che*=zh.nii*dxi*,gu.che*=zh.nii*dxi*,,,z.ache*=zh.nii*dxi*,,,4,2,Guchèxniìdxì' ba'du' huiini'.,Destetaron al nene (dícese de un niño que se ve desnutrido).,Zaà gàchè xniìdxì'.,Que ya lo desteten (al niño).
ade,radè,-ade*,EJG;JLC;ND;RGL;RLC;VP,vC:i,C,NO,432,"To be pierced, to be perforated, to hollow out.","Agujerearse, perforarse, horadarse, ahuecarse.",change of state,,,r.ade*,g.a*de*,gu.de*,,,z.ade*,,,4,4,Gudè diaga.,Se agujeró la oreja.,Radè.,Se le hacen hoyitos.
adexxaga,radè xhaga,-ade* # x.xaga,EJG;JLC;RLC,vC:i,C,NO,433,For a dimple to form in the cheek.,Hacérsele un hoyito en la mejilla.,physical attributes,,,r.ade* # x.xaga,g.a*de* # x.xaga,gu.de* # x.xaga,,,,,,3,6,Gudè guiiru' xhaga.,Tenía hoyitos en los cachetes (pero ya no).,Má quí radè guiiru' xhaga.,Ya no se le hacen hoyitos en las mejillas.
adxe,radxe,-adxe,EJG;JLC;RLC;VP,vC:i,C,NO,434,"To get wet, to get soaked, to get drenched.","Mojarse, empaparse.",change of state,,,r.adxe,g.a*dxe,gu.dxe,,,z.adxe,,,4,5,Má gudxé'.,Ya me mojé.,Má gudxe.,Ya se mojó.
adxena7,radxe nà',-adxe # na*7,EJG;ND;RLC,vC:i,C,NO,435,To be bribed (lit. for the hand to get wet).,Sobornarse (lit. mojarse la mano).,body parts,,,r.adxe na*7,g.adxe!7 na*7,gu.dxe na*7,,,z.adxe na*7,,,4,5,Gudxe nà'be.,Le dieron mordida.,Má gudxe nà'lu'.,Ya te sobornaron.
adxi,radxi,-adxi,EJG;JLC;RGL;RLC;VP,vC:t,C,NO,436,"To nurse, to suckle, to suck.","Mamar, lactar, chupar, succionar.",actions,,,r.adxi ,g.a*dxi (),gu.dxi ,ka-ya!dxi,,z.adxi,,,5,3,Má qué radxi.,Ya no mama.,Radxibe dxiña xtìni.,Chupa la miel (de la caña).
aka,raca,-aka,EJG;JLC;ND;RLC;VP,vC:i,C,NO,437,To become.,Hacerse.,change of state,,,r.aka,g.aka!7,gu.ka,ka-y.a!ka,,z.aka,ny.a!ka,,6,6,"Cayáca nandá'lu', má cuzunisalu'.","Has de tener calor, ya estás sudando.",Cayáca ti saa huiini' ra lidxi Tón.,Se está haciendo una fiestecita en la casa de Ton.
akabatayar,raca batayár,-aka # bata-ya!r,RGL;RLC,vC:i,C,NO,438,To struggle in terms of having to make an effort to overcome a challenge.,Batallar en cuanto a tener que hacer un esfuerzo para vencer un reto.,experience,batallar,,r.aka # bata-ya!r,g.aka!7 # bata-ya!r,gu.ka # bata-ya!r,,,,,,3,2,Qué racadí' batallár.,No hace el esfuerzo.,Raca batayárbe.,Batalla ella.
akabi,raca bi,-aka # bi,JLC,vC:i,C,NO,439,To be windy.,"Hacer aire, hacer viento.",phenomena,,,r.aka # bi,g.aka!7 # bi,gu.ka # bi,,,,,,3,3,Cádí' cayácadí' bi.,No está pegando el aire.,Cayáca bi.,Está pegando el aire.
akabibu,raca bìbu,-aka # bi*bu,RGL;RLC,vC:i vers,C,NO,440,"To be smart about something, to be ready in order to benefit from something, to be careful.","Ponerse vivo, abusado, o listo.",cognition,vivo,,r.aka # bi*bu,g.aka!7 # bi*bu,gu.ka # bi*bu,,,,,,3,2,Guca vìvu.,¡Ponte abusado!,Raca bìbu Juan.,Se pone abusado Juan.
akabigu,raca bigù,-aka # bi-gu*,EJG;RLC;VP,vC:i,C,NO,441,"To crumble, to break into pieces.","Desmoronarse, despedazarse.",change of state,,,r.aka # bi-gu*,g.aka!7 # bi-gu*,gu.ka # bi-gu*,,,,,,3,4,Bigù guca' espèju.,Se hizo pedazos el espejo.,Bigù guca pán.,Se hizo pedazos el pan.
akabupu,raca bupu,-aka # bupu,JLC,vC:i vers,C,NO,442,To become frothy.,Espumarse.,change of state,,,r.aka bupu,g.aka!7 bupu,gu.ka bupu,ka-y.a!ka bupu,,,,,4,5,"Caguiibi'bè lari, cayáca bupu.","Está lavando ropa, se está haciendo espuma.",Cayáca bupu.,Se está haciendo espuma.
akachingiili,raca chinguiìlì',-aka # chi-ngii*li*,RGL,vC:i,C,NO,443,To tickle.,Tener cosquillas.,experience,,,r.aka chi-ngii*li*,g.aka!7 chi-ngii*li*,gu.ka chi-ngii*li*,,,,,,3,4,Ndaani' xiiñé' racachinguiìlì'.,A mi hija le dan cosquillas en la panza.,Qué racadí' nguiìlì' ndaani' xiiñé'.,No tiene cosquillas mi hija en la pancita.
akade,raca de,-aka # de,EJG;JLC;RLC;VP,vC:i vers,C,NO,444,"To be pulverized, to shatter.","Hacerse polvo, hacerse ceniza, despedazarse.",change of state,,,r.aka # de,g.aka!7 # de,gu.ka # de,ka-y.a!ka # de,,,,,4,5,"Biaba guisu xtiné', guca de.",Se calló mi olla y se hizo pedazos (lit. polvo).,Guca debe.,Se despedazo (ej. Sadam Husein).
akadeyu,raca de yu,-aka # de+ yu,RLC,vC:i,C,NO,445,To be made out of clay.,Hacerse de barro.,substances,,,r.aka # de yu,g.aka!7 # de+ yu,gu.ka # de+ yu ,,,,,,3,1,Racani de yu.,Se hace de barro.,,
akage7la,raca gue'la',-aka # ge7la,JLC;RLC,vC:i vers,C,NO,446,"To become water logged, to become flooded.","Anegarse, inundarse.",change of state,,,r.aka # ge7la,g.aka!7 # ge7la,gu.ka # ge7la,,,,,,3,2,Raca gue'la' nisa.,Se hace honda el agua.,Raca nisa gue'la'.,Se hace hondo.
akagi,raca gui,-aka # gi,EJG,vC:i,C,NO,447,To catch fire.,Hacerse lumbre.,change of state,,,,,,ka-y.a!ka gi,,,,,1,2,Guca ndá' guiquè.,Se hizo la quemazón.,Qué ñácadí' guiquè.,No se le prendió fuego.
akaike,raca ique,-aka # ike,RLC,vC:i,C,NO,448,To go crazy.,Volverse loco.,cognition,,,r.aka ike,,,,,,,,1,3,Binnì racaique.,Gente loca.,Qué racadí' iquebe.,No se vuelve loca/o.
akanabyuzhe,raca nabiùxè,-aka # na-byu*zhe*,EJG,vC:i vers,C,NO,449,"To turn out small as in the case of fruit that did not develop to its expected size. To break down into small units, as in the case of money that is made into change.",Hacerse menudito o chiquito como en el caso de fruta que no creció como debería. Hacerse sencillo como en el caso de dinero en monedas.,change of state,,,r.aka # na-b.yu*zhe*,g.aka!7 # na-byu*zhe*,gu.ka # na-byu*zhe*,,,,,,3,2,Biyètecàlá raca nabiùxè.,Un billete para hacer cambio.,Raca billete cà nabiùxè.,Se cambia el billete por sencillo.
akanadipa7,raca nadipá',-aka # na-dipa!7,JLC;ND;RLC,vC:i vers,C,NO,450,"To become strong, to strengthen.",Hacerse fuerte.,change of state,,,r-aka na-dipa!7 ,g.aka!7 na-dipa!7 ,gu.ka na-dipa!7,,,,,,3,2,Nguiiu dipá'.,Hombre fuerte.,Quí ñácadí'be nadipá'.,No se puso fuerte.
akanaduxu7,raca naduxhú',-aka # na-duxu!7,RLC;VP,vC:i vers,C,NO,451,To become aggressive.,Ponerse bravo.,behavior,,,r.aka # na-duxu!7 ,g.aka!7 # na-duxu!7,gu.ka # na-duxu!7,,,,,,3,1,Raca Fán naduxhú'.,Se pone bravo Juan.,,
akanadxaba7,raca nadxabá',-aka # na-dxaba!7,JLC;RLC;VC,vC:i vers,C,NO,452,To become mean.,"Hacerse malo, como una persona que se hace maldosa o malvada.",behavior,,,r.aka # na-dxaba!7 ,g.aka!7 # na-dxaba!7,gu.ka # na-dxaba!7,,,,,,3,3,Qué racadí' Juán nadxabá'.,No se hace malo Juan.,Racabe nadxabá'.,Se hace mala persona.
akanala,raca nalà,-aka # na-la*,JLC;RLC,vC:i vers,C,NO,453,"To become a glutton, to become a big eater.",Hacerse tragón o goloso.,behavior,,,r.aka # na-la*,g.aka!7 # na-la*,gu.ka # na-la*,,,,,,3,2,Nalà raca gunaa nacaxiiñi'.,Las mujeres embarazadas se hacen antojadizas.,Raca gunaa nalà òra naca xiiñi'.,La mujer se hace antojadiza cuando está embarazada.
akananene,raca nanenè,-aka # na-nene*,JLC;RLC,vC:i vers,C,NO,454,To slow down.,Hacerse lento.,change of state,,,r.aka # na-nene* ,g.aka!7 # na-nene*,gu.ka # na-nene*,,,,,,3,2,Racabe nanenè.,Se hace lento.,Raca guiiba' xtì'be nanenè.,Se hizo lenta su computadora.
akanawati,raca nahuatì,-aka # na-wati*,EJG;RLC,vC:i vers,C,NO,455,"To be stunned, to be stupefied.","Atontarse, atarantarse.",cognition,,,r.aka # na-wati* ,g.aka!7 # na-wati*,gu.ka # na-wati*,,,,,,3,2,Gucabè nahuatì bindaabe ni má' naàzè'be.,"Se atarantó, le quitaron lo que tenía.","Guca Gabrièla nahuatì, guxha huèra laabe Ròber.","Se atarantó Gabriela, la gúera le quitó a su Robert."
akaniza,raca niza,-aka # niza,RLC,vC:i vers,C,NO,456,For the corn harvest to be abundant.,Lograrse una buena cosecha de mazorcas de maíz.,cultivation,,,r.aka # niza,g.aka!7 # niza,gu.ka # niza,,,,,,3,3,Guizá' guca niza xtinné'.,Este año se me dio buen maíz.,Qué ñàcadí' niza (gu)izadí'.,Este año no se me dio buen maíz.
akaposa,raca pòsa,-aka # po*sa,,vC:i vers,C,NO,457,"To fill up with water, to become flooded.","Llenarse de agua, encharcarse, inundarse.",change of state,pozo,,r.aka # po*sa ,g.aka!7 # po*sa,gu.ka # po*sa,,,,,,3,1,Ziaba nisaguie zaca ti p̀osa lu pàtiu.,Cuando llueva se va a hacer un charco en el patio.,,
akapura,raca purá,-aka # pu-ra!,EJG;JLC;RGL;VP,vC:i,C,NO,458,"To hurry, to rush.","Apurarse, apresurarse.",actions,apurar,,r.aka # pu-ra!,g.aka!7 # pu-ra!,gu.ka # pu-ra!,,,,,,3,6,Cádi gacá' purádióu'.,No te apures.,Cádi gacá'purádí' Réyna.,Que no se apure Reyna.
akaraya,raca ràya,-aka # ra*ya,JLC;VP,vC:t,C,NO,459,To collect one's wages.,"Cobrar el sueldo, o anteriormente, recibir la raya.",occupations,raya,,r.aka # ra*ya ,g.aka!7 # ra*ya,gu.ka # ra*ya,,,,,,3,1,Guca Fán ràya.,Cobró Juan su sueldo.,,
