ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4551,Nickname given to a man by the name of Juan for having lost a lot of weight.,fanpilidxi,,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan por haber enflaquecido.
4552,Nickname given to a man by the name of Juan as he is the son of Telésfora.,fanpoora,JLC;RLC,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan por ser el hijo de Telésfora.
4553,Nickname given to a man by the name of Juan as his head is lopsided. Tá'ba' means 'dented'.,fanta7ba,,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan por tener la cabeza aplastada. Tá'ba' significa 'achatado'
4554,Nickname given to a man by the name of Juan. Xtùbi means 'alone'.,fanxtubi,,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan. Xtùbi significa 'solo'.
4555,Nickname given to a man by the name of Juan.,fanyaanke,JLC;RLC,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan.
4556,Female name Juani.,fani,,,,,,,,,,,names,Juani.
4557,Sound of a plastic cup hitting the earth.,faa,,,,,,,,,,,sound symbolism,Sonido de un vaso de plástico pegando la tierra.
4558,Sound of a tree in the wind.,faafaafaa,,,,,,,,,,,sound symbolism,Sonido de un árbol en el viento.
4559,Skirt.,falda,,,,,falda,,,,,,clothing and adornment,Falda.
4560,False.,falsu,RLC,,,,falso,,,,,,communication,Falso.
4561,Nickname given to a man by the name of Juan as he has a crooked neck. Chuèca is a Spanish loanword meaning 'crooked' in the feminine gender.,fanchweka,,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan por tener el cuello chueco.
4562,Female name Juana.,fana,,,,,,,,,,,names,Juana.
4563,Name given to Juana and Miguel as a couple.,fanamigel,,,,,,,,,,,names,Pareja formada por Juana y Miguel.
4564,"Labor, task.",fayna,,,,,,,,,,,occupations,Faena.
4565,Nickname given to a man by the name of Juan.,fanon,,,,,,,,,,,names,Apodo que designa a un hombre llamado Juan.
4566,Sound of a thick cloth being rubbed.,fakafakafaka-2,,,,,,,,,,,sound symbolism,Sonido de tela gruesa siendo frotada.
