ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
1,Sound of a person making bubbles underwater.,b,,,,,,,,,,,sound symbolism,Sonido de una persona creando burbujas bajo el agua.
2,Sound used when calling a chicken.,bh,,,,,,,,,,,sound symbolism,Sonido que se usa para llamar a una gallina.
3,Sound of a horse or a deer snorting.,p,,,,,,,,,,,sound symbolism,Sonido de un caballo o un venado resoplando por la nariz.
4,Sound of a hasty or rushed movement.,rrunrrun,,,,,,,,,,,sound symbolism,Sonido de un movimiento apurado o atropellado.
5,Sound of a funeral bell.,dingdingding,,,,,,,,,,,sound symbolism,Sonido de una campana llamando a un entierro.
6,Small iguana with three series of spines along a wide tail. It is known in Spanish as gomaga or jama. It is not consumed but its eggs are and they are considered to be delicious.,gucha7chigiu,,,,,,,,,,,animals,"Iguana pequeña de cola ancha con tres series de espinas, conocida en castellano como gomaga o jama. No se come pero sus huevos sí y se consideran sabrosos."
7,Iguana after she has laid her eggs.,guchachi7orkidi,,,,,,,,,,,animals,Iguana después de poner sus huevos.
8,Sound that represents how a deaf person talks.,hbabababammm,,,,,,,,,,,sound symbolism,Sonido que representa como habla una persona sorda.
9,Fish known in Spanish as 'cuatrojo' which means 'four-eyes'.,bendalutapa7,,,,,,,,,,,animals,Pez conocido como cuatrojo.
10,"Bird known in Spanish and English as chachalaca. It is edible and is prepared in a broth which is considered good for body pains. By analogy with the fact that the chachalaca is noisy, this lexeme can be used to refer to someone who is a chatterbox.",berezhiga,,,,,,,,,,,animals,"Chachalaca. Es comestible y preparada en caldo se considera bueno para los dolores del cuerpo. Por analogía con el hecho de que la chachalaca hace mucho ruido, este lexema se puede usar para referirse a una persona parlanchina."
11,"The male of the species Quiscalus mexicanus. It is considered to be bigger and stronger than the female. Its feathers are jet black, hence its name. It is edible.",bigosebuubu,,,,,,,,,,,animals,"El macho de la especie Quiscalus mexicanus. Se considera más grande y fuerte que la hembra. Su plumaje es muy negro, de ahí su nombre. Es comestible."
12,"Very, greatly.",dunabe,,,,,,,,,,,measure and quantity,"Bastante, sumamente."
13,"Nominalizing proclitic. When it cliticizes to a verb, the derived lexeme is a noun that refers to the act or action described by the verb. When it cliticizes to a modifier or noun, the derived lexeme describes the nature or character defined by the modifier or noun.",genda,,,,,,,,,,,communication,"Proclítico nominalizador, es decir, partícula que se antepone a otros lexemas para generar un sustantivo, sin alterar el patrón prosódico de aquello a lo que se antepone. Cuando guenda+ se antepone a un verbo, el lexema que se deriva es un sustantivo que hace referencia al acto o a la acción descrita por el verbo. Cuando se antepone a un modificador o a un sustantivo, el lexema derivado describe una naturaleza o un carácter definido por el modificador o el sustantivo."
14,"Mind, intelligence, talent, knowledge. By association, the part of the head known as the temple.",gendabyaani,,,,,,,,,,,cognition,"Mente, inteligencia, talento, conocimiento. Por asociación, la sien."
15,Drunkedness.,gendabinnigwe7,,,,,,,,,,,states,"Estado de ebriedad, borrachera."
16,Fatness.,gendagorrda,,,,,gorda,,,,,,physical attributes,Gordura.
17,Personality that gets into everything and anything even without a full understanding of what they are getting into.,gendakeryabayu,,,,,,,,,,,character attributes,Personalidad que a todo le entra aun sin saber en qué se mete.
18,Knowledge.,gendananna,,,,,,,,,,,character attributes,Sabiduría.
19,Slimness.,gendanalase7,,,,,,,,,,,physical attributes,Delgadez.
20,Fatness.,gendanaro7,,,,,,,,,,,physical attributes,Gordura.
21,"Largeness in size, grandeur.",gendanaro7ba,,,,,,,,,,,size,"Grandeza de tamaño, lo grandioso."
22,"Smallness. By extension, youth.",gendanawiini,,,,,,,,,,,size,"Pequeñez. Por extensión, juventud."
23,"Joke, humor.",gendanayaawi,,,,,,,,,,,communication,"Chiste, gracia, humor."
24,A matter driven by love or affection.,gendanazhii,,,,,,,,,,,emotion,Cuestión de amor o cariño.
25,"Request, borrowing, loan.",gendaranna1,,,,,,,,,,,actions,"Solicitud, acto de pedir prestado o fiado."
26,"Learning, knowledge.",gendaranna2,,,,,,,,,,,experience,"Aprendizaje, conocimiento."
27,Relating to sleep.,gendarasi,,,,,,,,,,,cognition,Lo relacionado con dormir.
28,"Breakfast, act of drinking including drinking to drunkedness. This nominalization can also refer to the beverage that a godmother offers during the celebration that she is sponsoring.",gendare7,,,,,,,,,,,food,"Desayuno, acción de beber incluyendo borracheras. También se refiere a la bebida que ofrece una madrina de velación, de cantarito, o de pastel."
29,Cleaning.,gendarusya,,,,,,,,,,,processes,Limpieza.
30,Spinning top game.,gendarusyaatrompu,,,,,trompo,,,,,,games and toys,Juego de trompo.
31,Sneeze.,gendaruxyazhi7,,,,,,,,,,,experience,Estornudo.
32,Endurance.,gendaruniwantar,,,,,aguantar,,,,,,physical attributes,Aguante.
33,Chat.,gendaruwi7diidxa,,,,,,,,,,,communication,"Platicada, conversación."
34,Breath.,gendarikaabi,,,,,,,,,,,experience,Respiro.
35,Snore.,gendarindaabiike,,,,,,,,,,,actions,Ronquido.
36,Beauty.,gendasikaru,,,,,,,,,,,manner,Belleza.
37,"Marriage, wedding.",gendaxxeela,,,,,,,,,,,cultural practices,"Matrimonio, casamiento."
38,Iguana.,guchachi7,,,,,,,,,,,animals,Iguana.
39,Spicy iguana stew.,guchachi7giinya,,,,,,,,,,,food,Guisado picante de iguana.
40,"Jiménez Girón (1979:90) describes this animal as an amphibian similar to the salamander, the size of a lizard. It takes its name from the colored stripes on its body, similar to the weave of a hammock (lit. hammock iguana).",guchachi7gixe,,,,,,,,,,,animals,"Jiménez Girón (1979:90) describe a este animal como ""batracio parecido a la salamandra, del tamaño de una lagartija. Deriva su nombre del rayado a colores que lleva en el cuerpo a la semejanza del tejido de una hamaca"" (lit. iguana hamaca)."
41,"Like this, used for clarifying or correcting a statement.",gaba,,,,,,,,,,,manner,"Así, dicho para aclarar o corregir."
42,Nowhere.,gabati7,,,,,,,,,,,location,En ningún lugar.
43,"Silliness, nonsense, tomfoolery, joke, fantasy. By extension, sex.",gadxagaya7,,,,,,,,,,,communication,"Tontería, payasada, chiste, fantasía. Por extensión, sexo."
44,Ring.,ganiw,,,,,anillo,,,,,,clothing and adornment,Anillo.
45,Ring made with three rings which is often decorated with a coin worth 1.50 or 2.50.,ganiwdechonnaarrgoya,,,,,,,,,,,clothing and adornment,Anillo de tres argollas al cual se le suele poner una moneda de 1.50 o de 2.50.
46,Ring with mounted stones.,ganiwdegye,,,,,,,,,,,clothing and adornment,Anillo con piedras montadas.
47,Ring with a hand set on it.,ganiwdemanita,,,,,,,,,,,clothing and adornment,Anillo que lleva una manita montada.
48,Ring with an inscription meant to commemorate a wedding.,ganiwderekwerrdu,,,,,anillo,,,,,,clothing and adornment,Anillo de recuerdo de bodas que lleva una inscripción.
49,Yoke.,gayugu,,,,,yugo,,,,,,tools and implements,Yugo.
50,Song sung while playing the children's game known as compañiá jáu in which players bump each other with their buttocks to try to knock each other down.,gadxipigadxi7,,,,,,,,,,,games and toys,Cantaleta que se canta en el juego llamado compañiá jáu en el que los jugadores se pegan con las pompas hasta hacerse caer.
51,Leather pad in a slingshot where the stone is placed before shooting.,gamusa,,,,,,,,,,,meronym,Almohadilla de cuero de una resortera donde se coloca la piedra para tirar.
52,"Needy mood in toddlers, especially when they are weaned abruptly or when they are jealous of a newborn sibling.",gendachipi,,,,,,,,,,,states,Estado de un niño chipilón.
53,Heat.,gendananda7,,,,,,,,,,,states,Calor.
54,"Weakened condition because the item in question is rotten, worn out, eaten up inside (as in the case of plants), or saggy.",gendanayaabi,,,,,,,,,,,states,"Condición debilitada, ya sea por estar podrido, desgastado, carcomido, bofo, o desvencijado."
55,"A game in which coins are tossed within a delimited space. The objective is to make one's coin land in the space where the other player's coin is or within its delimited space. If successful, one wins the other player's coin.",gendarulaa,,,,,,,,,,,games and toys,"Juego en el que se lanzan monedas dentro de un espacio delimitado. El objetivo es de lograr que la moneda de uno caiga en el espacio donde está la moneda de otro jugador o dentro de una cuarta. Si se logra, uno gana la moneda del otro."
56,Cough.,gendaruru,,,,,,,,,,,wellness,Tos.
57,Shamelessness.,gendasinberwensa,,,,,sinvergúenza,,,,,,behavior,Falta de vergüenza.
58,Illness.,gendawara,,,,,,,,,,,wellness,Enfermedad.
59,"Nobody, no one.",giru7ti7,,,,,,,,,,,measure and quantity,"Nadie, ninguno."
60,"Town of San Pedro Huilotepec, Oaxaca.",gigudxa,,,,,,,,,,,toponym,"San Pedro Huilotepec, Oaxaca."
61,"Zapotec city known as Santo Domingo Tehuantepec, Oaxaca, Mexico.",gizii,,,,,,,,,,,toponym,"Ciudad zapoteca de Santo Domingo Tehuantepec, Oaxaca, México."
62,Some community members in Juchitán de Zaragoza and Santa María Xadani translate this lexeme as eyelashes. Others in La Ventosa translate it as eyebrow.,gichalaga,,,,,,,,,,,body parts,Algunos en Juchitán de Zaragoza y Santa María Xadani traducen este lexema como pestaña. Otros en La Ventosa lo traducen como ceja.
63,"A cold, the flu.",gidxaga,,,,,,,,,,,wellness,"Catarro, resfriado, gripe."
64,Whichever.,gintiika,,,,,,,,,,,communication,Cualquier.
65,Whichever.,gintiisi,,,,,,,,,,,communication,Cualquier.
66,Guitar.,gintarra,,,,,guitarra,,,,,,music and dance,Guitarra.
67,"Steam, condensation, heat from the sun.",guba1,,,,,,,,,,,states,"Vapor, vaho, calor del sol."
68,"Rheumatism, inflammation, infection.",guba2,,,,,,,,,,,wellness,"Reuma, inflamación, infección."
69,Demonym that refers to the inhabitants of the town of Unión Hidalgo.,gubinya,,,,,,,,,,,demonym,Gentilicio referente a los habitantes de Unión Hidalgo.
70,Lizard.,guragu7,,,,,,,,,,,animals,Lagartija.
71,"Skink, small lizard with smooth and lustrous skin. They are thought to be venomous but they are not.",guragu7yaana,,,,,,,,,,,animals,"Escíncido, pequeña lagartija de piel fina y lustrosa. Se tiene la idea de que estos reptiles son venenosos, pero no lo son."
72,"Coastline, shore.",guryanisado7,,,,,orilla,,,,,,location,Costa del mar.
73,"Grasshopper, cricket.",guxaru,,,,,,,,,,,insects,Chapulín.
74,Sugar grasshopper.,guxarudxinya,,,,,,,,,,,insects,Chapulín de azúcar.
75,Green grasshopper or cricket.,guxaruyaa,,,,,,,,,,,insects,Chapulín verde.
76,Ground grasshopper or cricket.,guxaruyu,,,,,,,,,,,insects,Chapulín de la tierra.
77,"Edible fish, similar to the blue pike, found in the estuaries of the lagoon known as Dead Sea.",guyaga7,,,,,,,,,,,animals,Pez comestible de los esteros de la laguna conocida como el Mar Muerto.
78,"Canicule, dog days.",guzibayooxo,,,,,,,,,,,phenomena,Canícula.
79,"Game, ruse.",gendarigite,,,,,,,,,,,games and toys,"Juego, engaño."
80,Anger.,gendaridxiichi,,,,,,,,,,,emotion,Enojo.
81,Brotherhood.,gendabi7chi,,,,,,,,,,,kinship,Hermandad.
82,The seductive ability and disposition of a skirt chaser.,gendacha7ka,,,,,,,,,,,character attributes,Habilidad y disposición seductora de quien es mujeriego.
83,"Community elder and knowledge bearer who leads in certain social functions such as asking for a young woman's hand in marriage, delivering the li-banà at a wedding, or facilitating conciliation of a married couple in conflict.",gendachago7la,,,,,,,,,,,social categories,"Persona mayor y conocedora que intercede en actos sociales para pedir la mano de una muchacha, administrar el libanà en una boda, o reconciliar un matrimonio en conflicto."
84,"Fingering, pawing.",gendaga7na,,,,,,,,,,,actions,"Toqueteo, manoseo."
85,Disease that spreads among animals such as chickens and pigs.,gendagidxa,,,,,,,,,,,wellness,"Enfermedad que se transmite entre los animales como los pollos, gallinas y cerdos."
86,Falsehood.,gendala7sisi,,,,,,,,,,,experience,Falsedad.
87,"Cold, in relation to temperature.",gendanananda,,,,,,,,,,,states,Frío.
88,Health.,gendanazaaka,,,,,,,,,,,wellness,Salud.
89,Conjunctivitis.,gendarakalu,,,,,,,,,,,wellness,Conjuntivitis.
90,Hatred.,gendarannala7dxi,,,,,,,,,,,emotion,El odio.
91,Thirst.,gendarati,,,,,,,,,,,states,Sed.
92,Bath.,gendaraze,,,,,,,,,,,actions,Baño (i.e. el acto de bañarse).
93,Food or meal. The act of eating.,gendaro,,,,,,,,,,,food,Comida. El acto de comer.
94,Premade or processed food (ex. canned food).,gendaroechu,,,,,hecho,,,,,,food,Comida preparada o procesada (ej. la comida de lata).
95,Lunch.,gendarogeta,,,,,,,,,,,food,Comida del medio día.
96,Dinner.,gendaroxxi,,,,,,,,,,,food,Cena.
97,Bite. Evil eye.,gendaroyaa1,,,,,,,,,,,wellness,Mordida. Mal de ojo.
98,"Jiménez Girón (1979:82) explains that in the context of a wedding ceremony, this lexeme refers to gifts offered to the family of the bride on the Saturday prior to the wedding. These gifts include live animals, bags of corn, and condiments, all of which are presented amidst music, fireworks and celebration.",gendaroyaa2,,,,,,,,,,,cultural practices,"Jiménez Girón (1979:82) explica que en el contexto de una celebración matrimonial, este lexema se refiere a ciertos regalos que se presentan a los familiares de la novia en el sábado que le precede a la boda. Estos regalos pueden ser animales vivos, maíz en costales, y condimentos. La entrega de dichos regalos conlleva música, cohetes y celebración."
99,"The act of putting, introducing or submerging something inside something else. This lexeme has sexual connotations.",gendaruchaaze,,,,,,,,,,,actions,"El acto de meter, introducir, encajar o sumergir una cosa dentro de otra. Este lexema puede usarse con connotaciones sexuales."
100,Barter.,gendaruchaa,,,,,,,,,,,commerce,Trueque.
101,"The act of making someone pay for something, be it the interests on a money loan or a rent. This also refers to revenge as a way of making someone pay for a grievance committed.",gendarukizhe,,,,,,,,,,,actions,"El acto de hacerle a alguien pagar por algo, ya sean los intereses de un préstamo de dinero o una renta. También se refiere a la venganza como una forma de hacerle pagar a alguien por algún agravio."
102,Act of having sex.,gendarule,,,,,,,,,,,actions,Acto de tener sexo.
103,Laughter.,gendaruzhidxi,,,,,,,,,,,experience,Risa.
104,"Run, running race.",gendaruzhoonye,,,,,,,,,,,actions,"Corrida, carrera."
105,"Pounding, shaking, straining, sifting, sifting, sieving.",gendaribiibiyaga,,,,,,,,,,,actions,"El acto de aporrear, sacudir, colar, cernir, tamizar."
106,Gleaning.,gendaribagu,,,,,,,,,,,measure and quantity,Pizca.
107,Massage.,gendaridaabi,,,,,,,,,,,wellness,Masaje.
108,"Fight, quarrel.",gendaridinde,,,,,,,,,,,behavior,"Pelea, pleito."
109,Fatigue.,gendaridxaga,,,,,,,,,,,wellness,Cansancio.
110,Yawn.,gendaridxagaxkaanda,,,,,,,,,,,experience,Bostezo.
111,The act of mockingly mimic someone or make fun of their speech and/or gesture.,gendaridxagayaa,,,,,,,,,,,actions,El acto de arremedar a alguien o de burlarse de su manera de hablar.
112,Massage.,gendarigaabi,,,,,,,,,,,wellness,Masaje.
113,Pounding or shaking to clean something as is done when processing dry beans.,gendariguupallu,,,,,palo,,,,,,actions,"El acto de aporrear o sacudir para limpiar algo, como se hace con el frijol."
114,"This refers to a digestive ailment that can be loosely described in English as indigestion. However, culturally, this ailment is considered to be dangerous to the point of being fatal. It is caused by excessive consumption of something (ex. an infant who drinks too much maternal milk) and is perhaps a motivator for self-control.",gendarikala7dxido7,,,,,,,,,,,wellness,Empacho.
115,Hunger.,gendarindaana,,,,,,,,,,,experience,Hambre.
116,Stroll.,gendariza,,,,,,,,,,,experience,Paseo.
117,Rest.,gendarizi7la7dxi,,,,,,,,,,,wellness,Descanso.
118,"Astonishment, astonishment.",gendaridxagayaa-2,,,,,,,,,,,emotion,"Asombro, sorpresa."
119,Drool. Something stupid.,gendarwaadxe7,,,,,,,,,,,manner,"Babeada, babosada."
120,"Tuberculosis. This literally means ""dry disease"" because the patient becomes so skinny that they look as if they were dried up. Tuberculosis is considered a disease associated with heat.",gendawarabidxi,,,,,,,,,,,wellness,"Tuberculosis. Literalmente significa ""la enfermedad seca"" porque el enfermo enflaca y toma una apariencia como si estuviera seco. La tuberculosis se considera una enfermedad caliente."
121,Heart ailment.,gendawaradela7dxido7,,,,,,,,,,,wellness,Mal del corazón.
122,Conjunctivitis.,gendawaralu,,,,,,,,,,,wellness,Conjuntivitis.
123,Joke. Funny nature.,gendayaawi,,,,,,,,,,,communication,"Chiste, gracia, broma."
124,Cards game.,gendarigitebaraja,,,,,baraja,,,,,,games and toys,Juego de barajas.
125,"A game in which a garment is passed from one person to another while singing the verse pasalotèngo, pasalotèngo, tindaà xhaba Juàna (pasalotengo, pasalotèngo, a piece of Jane's clothing). Whoever has the garment at the end of the song receives a punishment.",gendarigitepasalotengo,,,,,pasa,,,,,,games and toys,"Juego en el que una prenda se pasa de una persona a otra mientras se canta la cantaleta pasalotèngo, pasalotèngo, tindaà xhaba Juàna (pasalotengo, pasalotengo, una pieza de ropa de Juana). Quien se quede con la prenda al final de la cantaleta recibe un castigo."
126,Game played with a sponge ball which is hit with the fist.,gendarigitetala7chi,,,,,,,,,,,games and toys,Juego que se juega con una pelota de esponja que se golpea con el puño.
127,"Spinning top game. First, chips are thrown into a circle. Whoever misses the target by the greatest distance places their spinning top down and the rest try to hit it with their own spinning tops.",gendarigitetrompo,,,,,trompo,,,,,,games and toys,Juego de trompo. Primero se tiran fichas dentro de un círculo. El de la ficha que queda más lejos del centro pone su trompo para que los demás lo intenten golpear con sus trompos.
128,Horse mane.,gichazhayannimani7,,,,,,,,,,,animals,Crin de caballo.
129,Complete.,giza7,,,,,,,,,"(gi-)za!7; , ,  ka-za!7",,states,Completo.
130,"Some community members, especially in Juchitán de Zaragoza, translate this lexeme as eyebrow.",gichaikelaga,,,,,,,,,,,body parts,"Algunos, sobre todo en Juchitán de Zaragoza, traducen este lexema como ceja."
131,Idiot. This also refers to a man whose wife cheats on him.,granpendeju,,,,,gran,,,,,,character attributes,Pendejo. También se refiere a un hombre al que su esposa engaña.
132,Lizard.,guzhaaya,,,,,,,,,,,animals,Lagartija.
133,Because of that.,ngangaruni,,,,,,,,,,,manner,Por eso.
134,"Kind, respectful, mild mannered, well behaved.",nacha7wi,,,,,,,,,,,character attributes,"Bueno, bondadoso, respetuoso, tranquilo, que se comporta bien."
135,"Quick, prompt, rapidly, fast.",nageenda,,,,,,,,,,,manner,"Rápido, pronto, aprisa, veloz."
136,"Thick as in the case of cloth or fabric, or wide as in the case of someone with wide hips.",nanaande,,,,,,,,,,,size,"Grueso como podría ser el caso de la tela, o ancho como una persona de caderas grandes."
137,Fat.,naro7,,,,,,,,,,,size,Gordo.
138,"Sleepy, as if half dead, numb.",nayati,,,,,,,,,,,wellness,"Adormecido, como medio muerto, entumido."
139,Open.,nazhalle7,,,,,,,,,,,position,Abierto.
140,"Fine, broken up. By extension and in relation to money, it also refers to coins or change.",nabyuzhe,,,,,,,,,,,shape,"Menudo, fino, fragmentado. Por extensión y con relación al dinero, cambio o sencillo."
141,"Thin, slim.",nabaaza,,,,,,,,,,,shape,Delgado.
142,"About a flavor that is between sweet and sour, or about one that cannot be easily defined.",naballi7,,,,,,,,,,,food,"De sabor entre dulce y amargo, o que no se puede determinar fácilmente."
143,About a flavor that is not too sweet.,nabapa,,,,,,,,,,,food,De sabor que no está muy dulce.
144,"Wide, flat and rectangular like a wooden plank.",nabata,,,,,,,,,,,shape,"Ancho, amplio, rectangular y plano como un tablón."
145,Narrow.,nabe7,,,,,,,,,,,shape,"Angosto, estrecho."
146,Jiménez Girón (1979:114) defines this lexeme as referring to something that is very finely pulverized.,nabedxe,,,,,,,,,,,manner,"Jiménez Girón (1979:114) define este lexema como ""finamente pulverizado, liso""."
147,"Curly, frizzy.",nabi7chu,,,,,,,,,,,shape,"Chino, crespo."
148,Curly.,nabidxu,,,,,,,,,,,shape,"Crespo, ondulado, rizado, chino en referencia al cabello."
149,Small.,nabiru,,,,,,,,,,,size,Pequeño.
150,"Dry, dried.",nabidxi,,,,,,,,,,,states,Seco.
151,Chubby.,nabo7nyo,,,,,,,,,,,physical attributes,Gordito.
152,"Swollen, puffed up.",nabumbu,,,,,,,,,,,shape,"Hinchado, abombado."
153,Skirt chaser.,nacha7ka,,,,,,,,,,,character attributes,Mujeriego.
154,Lazy.,nachaaba,,,,,,,,,,,character attributes,"Flojo, perezoso, haragán."
155,"Loose, as in the case of a tooth that is about to fall, or a stake on the ground or a nail on the wall that are coming loose.",nachaacha,,,,,,,,,,,physical attributes,"Flojo, suelto, como un diente que se va a caer, o como un palo en la tierra o un clavo en la pared que se están soltando."
156,"Cracked, losing consistency, and even of viscous appearance, as when corn kernels crack open when cooked to make pozol, or when the corner of the mouth cracks due to dryness and oozes.",nachaande,,,,,,,,,,,states,"Reventado, reblandecido, e incluso viscoso, como le ocurre al maíz cuando se cuece para hacer pozol, o a la comisura de los labios por resequedad."
157,This describes someone's gait that has become altered to the point of walking with a limp.,nachaani,,,,,,,,,,,physical attributes,Que ha desarrollado una cojera.
158,"Cheerful, sociable, charismatic. Describes a person of either sex who, even if they have a formal partner, will flirt with others.",nachacha7,,,,,,,,,,,character attributes,"Alegre, sociable, carismático. Se utiliza con relación a ambos sexos para describir a una persona que aun si tiene pareja formal, le coquetea a otros."
159,"Confused, dazed, awkward, clumsy.",nachanda,,,,,,,,,,,states,"Confundido, atontado, entorpecido."
160,"Askew, off-kilter.",nachanga,,,,,,,,,,,wellness,"Chueco, de lado."
161,"This describes an eye that is askew, as when a person has strabismus.",nachangalu,,,,,,,,,,,wellness,"Con el ojo chueco, como cuando se tiene estrabismo."
162,"With an off-kilter gait, as when carrying a heavy load.",nachangazha7na,,,,,,,,,,,manner,"Que camina con el cuerpo chueco o de lado, como cuando se carga algo pesado."
163,"Twisted. This seems to apply to the extremities of the body, but not to other parts such as eyes or the back.",nachangu,,,,,,,,,,,position,"Torcido. Se utiliza con relación a las extremidades del cuerpo, pero no a otras partes como los ojos o la espalda."
164,"Confused, dazed, awkward, clumsy, stumbling.",nachendxe,,,,,,,,,,,cognition,"Confundido, atontado, entorpecido, que tropieza."
165,Ticklish.,nachi7,,,,,,,,,,,physical attributes,Cosquilluda o cosquilludo.
166,"Scarce, sparse.",nachichi,,,,,,,,,,,manner,Escaso.
167,"To squeak or screech, as when teeth are set on edge after eating something sour or after hearing chalk against a blackboard.",nachidxi,,,,,,,,,,,manner,"Con dentera, que rechina, como cuando uno aprieta los dientes hasta rechinar por comer algo agrio o por oír el sonido de un gis contra el pizarrón."
168,Having small eyes.,nachiitulu,,,,,,,,,,,physical attributes,De ojos chicos.
169,For feet to buckle when bearing weight.,nachiita,,,,,,,,,,,wellness,Que se le falsean los pies.
170,"Tarnished or worn out, as in clothes.",nachipa,,,,,,,,,,,states,Percudido.
171,Shameless (lit. with tarnished eyelids).,nachipalaga,,,,,,,,,,,behavior,Sinvergüenza (lit. de párpado percudido).
172,"Hard, stiff.",nachonga,,,,,,,,,,,states,"Duro, tieso."
173,"Smooth, as in a bald head.",nachoore,,,,,,,,,,,states,Liso por estar pelón.
174,"Hard, stiff. By extension, looking emaciated.",nachuga,,,,,,,,,,,states,"Duro, tieso. Por extensión, flaco, raquítico."
175,"Short, shortened, cut short. By extension, short person.",nachuku,,,,,,,,,,,size,"Corto, cortado. Por extensión, chaparro."
176,"Viscous and/or sticky, as in the case of infected and encrusted eyes.",nachuuchu,,,,,,,,,,,states,"Viscoso y/o pegajoso, como cuando se infectan los ojos, supuran y se pegan."
177,"For vision or visibility to be clouded, foggy, or sombre.",nachuundu,,,,,,,,,,,phenomena,"De visión o visibilidad nublada, empañada o sombría."
178,Slippery.,nachwi7,,,,,,,,,,,states,Resbaloso.
179,"Closed, obstructed, cloudy (in reference to the sky). It can be used to refer to a narrow-minded or ignorant person.",nada7gu,,,,,,,,,,,phenomena,"Cerrado, tapado, nublado (con relación al cielo). Puede referirse a una personalidad cerrada o ignorante."
180,"Delicate, fragile, as in the case of something that could become damaged easily, something that is at risk, or someone whose health is seriously compromised.",nada,,,,,,,,,,,states,"Delicado, frágil, como algo que fácilmente se dañaría, algo que corre peligro, o una persona que está grave de salud."
181,Empty.,nadachi,,,,,,,,,,,states,Vacío.
182,"Poking out, sticking out.",nadidi,,,,,,,,,,,position,"Salido, sobresalido, extendido más allá de un límite o de un contenedor."
183,Unable to keep a secret.,nadidirwaa,,,,,,,,,,,character attributes,Que no puede guardar un secreto.
184,"Strong, with strength.",nadipa7,,,,,,,,,,,physical attributes,"Fuerte, con fuerza."
185,"Calm, tranquil, quiet, still.",nado7,,,,,,,,,,,manner,"Calmado, tranquilo."
186,"Very calm, tranquil, quiet or still.",nado7dxita,,,,,,,,,,,manner,Sumamente calmado o tranquilo.
187,"Retracted onto itself, curled up. By extension, short person.",nadopa,,,,,,,,,,,position,"Recogido, encogido, enrollado. Por extensión, chaparro."
188,"Sharp, in reference to a blade. By extension, aggressive as a person might be, or bothersome as when the sun is too strong.",naduxu7,,,,,,,,,,,character attributes,"Afilado, filoso. Por extensión, agresivo como podría ser una persona, o que molesta como el sol fuerte."
189,With a sharp point.,naduxu7bizu,,,,,,,,,,,manner,Puntiagudo.
190,With an aggressive look.,naduxu7lu,,,,,,,,,,,physical attributes,De mirada agresiva.
191,"Daring, fearless, someone who gets into anything fearlessly.",nadxi7badi,,,,,,,,,,,character attributes,"Atrevido, que se mete en todo sin tener miedo."
192,"Changed. Perhaps by extension or association, this participle may mean coldly or with displeasure, especially in relation to how someone speaks.",nadxa7,,,,,,,,,,,character attributes,"Cambiado. Quizá por extensión o asociación, también se usa para describir frialdad o desagrado, sobre todo refiriéndose a la manera de hablar."
193,"Warm or hot, depending on the temperature that is optimal.",nadxaa,,,,,,,,,,,phenomena,"Tibio o caliente, según la temperatura ideal que se busca."
194,"With company, together. This can refer to neighbors.",nadxaaga,JLC,,,,,,,,,,manner,"Acompañado, unido, junto. Se puede usar para referirse a los vecinos y a sus casas."
195,"Angry, irritable, aggressive, mean.",nadxaba7,,,,,,,,,,,character attributes,"Enojado, irascible, agresivo, malo."
196,Wet.,nadxe7,,,,,,,,,,,states,Mojado.
197,"Mischievous, hyperactive, someone who is a challenge to manage.",nadxi7nya,,,,,,,,,,,character attributes,"Travieso, inquieto, que da guerra."
198,Easily scared or frightened.,nadxiibi,,,,,,,,,,,character attributes,"Miedoso, asustado, espantado."
199,Angry.,nadxiichi,,,,,,,,,,,behavior,Enojado.
200,"Smooth, in the sense of worn out after having lost the original texture.",nadxiibi-2,,,,,,,,,,,states,"Liso, en el sentido de estar gastado por haber perdido la textura original."
201,"Scarce, in reduced quantity.",nadxunu7,,,,,,,,,,,measure and quantity,"Escaso, en cantidad reducida."
202,"Cold, cool. By extension, a soft drink (since it is often served cool).",naga7nda,,,,,,,,,,,phenomena,"Frío, fresco. Por extensión, el refresco (la bebida)."
203,"Downwards, deep.",nagete7,,,,,,,,,,,position,"Hacia abajo, y por lo tanto, hondo, profundo."
204,"To be buried. By extension, to be hidden, both in a literal sense as well as in the metaphorical sense of something secret.",naga7chi,,,,,,,,,,,states,"Enterrado, sepultado. Por extensión, escondido, tanto en el sentido literal como en el sentido figurado de ser algo secreto."
205,"Stretched, elongated, grown.",nagaa,,,,,,,,,,,position,"Estirado, alargado, crecido de tamaño."
206,"Stupid, idiot. This lexeme can also refer to someone with a cognitive disability, but it does so offensively and should be avoided.",nagidxa,,,,,,,,,,,character attributes,"Tonto, idiota, sin juicio. Este lexema también se usa para referirse a una persona con discapacidad cognitiva de manera despectiva, por lo cual debe evitarse este uso."
207,"Stingy, cheap, tightfisted.",nagibi7,,,,,,,,,,,character attributes,"Mezquino, tacaño, agarrado."
208,Old.,nagola,,,,,,,,,,,time,Viejo.
209,Hunched over.,nagudaa,,,,,,,,,,,position,Agachado.
210,"Bent, buckled. This lexeme can be used to refer to a person who has a hunched or bent back due to age.",naguude,,,,,,,,,,,position,"Doblado, combo. Se puede usar este lexema para referirse a una persona jorobada o que ha perdido su postura erguida debido a la edad."
211,"Soft, mushy.",naguudxi,,,,,,,,,,,states,"Blando, suave."
