ID,Bloque,Español,Didxazá_original,phrase_action,accepted_exact_spans,orthographic_unresolved_tokens,analysis_open_tokens,analysis_review_tokens,candidate_edits,utterance_validation
56,"El entorno: casa, pueblo, milpa",El mercado está lleno,dxha' binni luguia,RT-B-PARTIAL,1,2,1,0,0,False
57,"El entorno: casa, pueblo, milpa",Las flores son hermosas.,sicaru nga ca' guie ca',RT-E-PRESERVE,5,0,5,0,0,False
58,"El entorno: casa, pueblo, milpa",El mar está lejos.,zitu nu nisa doo,RT-E-PRESERVE,4,0,1,0,0,False
59,"El entorno: casa, pueblo, milpa",El viento sopla fuerte.,nadipa nu bi,RT-B-PARTIAL,2,1,1,0,0,False
60,"El entorno: casa, pueblo, milpa",La tierra es nuestra.,sti'nu layu di',RT-B-PARTIAL,2,1,1,0,0,False
61,Verbos de acción cotidiana,Voy al mercado.,cha luguia,RT-B-PARTIAL,1,1,0,0,0,False
62,Verbos de acción cotidiana,Vengo de la milpa.,zenda de ra ñaa,RT-B-PARTIAL,4,1,1,0,0,False
63,Verbos de acción cotidiana,Estoy haciendo la comida,cayune guenda roo,RT-B-PARTIAL,2,1,0,0,0,False
64,Verbos de acción cotidiana,ya estoy comiendo.,ma cayagua gueta,RT-B-PARTIAL,2,1,1,0,0,False
65,Verbos de acción cotidiana,Estoy durmiendo,nizia se',RT-E-PRESERVE,0,2,0,0,0,False
66,Verbos de acción cotidiana,Estoy trabajando.,cayune dxiña,RT-B-PARTIAL,1,1,0,0,0,False
67,Verbos de acción cotidiana,Voy a caminar.,cha chi zaya,RT-B-PARTIAL,2,1,0,0,0,False
68,Verbos de acción cotidiana,Quiero descansar.,chi guizi ladxe,RT-B-PARTIAL,1,2,0,0,0,False
69,Verbos de acción cotidiana,Estoy escuchando.,cayuna diaga,RT-E-PRESERVE,2,0,0,0,0,False
70,Verbos de acción cotidiana,Estoy hablando con mi mamá.,canie nia jñaa,RT-B-PARTIAL,1,2,0,0,0,False
71,Preguntas esenciales,¿Qué es esto?,xhi ndi,RT-B-PARTIAL,1,1,2,0,0,False
72,Preguntas esenciales,¿Qué estás haciendo?,xhi cayunu,RT-B-PARTIAL,1,1,2,0,0,False
73,Preguntas esenciales,¿A dónde vas?,para cheu,RT-B-PARTIAL,1,1,0,0,0,False
74,Preguntas esenciales,¿De dónde vienes?,para guye' lu,RT-B-PARTIAL,2,1,0,0,0,False
75,Preguntas esenciales,¿Cómo se dice en zapoteco?,xhi lani didxa'zaa,RT-B-PARTIAL,2,1,3,0,0,False
76,Preguntas esenciales,¿Puedes repetirlo más despacio?,zanda guiniu' ni stobi cha hui ga' la,RT-B-PARTIAL,7,1,8,0,0,False
77,Preguntas esenciales,¿Qué significa esa palabra?,xhina didxa'ca,RT-E-PRESERVE,0,2,2,0,0,False
78,Preguntas esenciales,¿Dónde está el mercado?,para nu luguia,RT-B-PARTIAL,2,1,1,0,0,False
79,Preguntas esenciales,¿Cuánto cuesta?,pagala zaca ni',RT-B-PARTIAL,2,1,3,0,0,False
80,Números y tiempo básico,"Uno, dos, tres.","tobi, chupa, chona",RT-E-PRESERVE,3,0,0,0,0,False
81,Números y tiempo básico,"Cuatro, cinco, seis.","tapa, gayu, xhopa",RT-B-PARTIAL,1,2,1,0,0,False
82,Números y tiempo básico,"Siete, ocho, nueve, diez.","gadxe, xhono, ga', chi",RT-E-PRESERVE,4,0,4,0,0,False
83,Números y tiempo básico,Hoy es lunes.,yana dxi lunes,RT-B-PARTIAL,1,2,0,0,0,False
84,Números y tiempo básico,Mañana es martes.,idxi martes,RT-B-PARTIAL,1,1,0,0,0,False
85,Números y tiempo básico,Ayer fue domingo.,negue domingo,RT-E-PRESERVE,0,2,0,0,0,False
86,Números y tiempo básico,Son las siete de la mañana.,gadxe lu xhigaba ziado,RT-B-PARTIAL,2,2,3,0,0,False
87,Números y tiempo básico,Son las tres de la tarde.,chona lu xhigaba guadxi,RT-B-PARTIAL,2,2,2,0,0,False
88,Números y tiempo básico,Son las nueve de la noche.,ga lu xhigaba guaxhini,RT-B-PARTIAL,3,2,2,0,0,False
89,Números y tiempo básico,Es muy temprano.,ziado pe ndi',RT-B-PARTIAL,1,2,0,0,0,False
90,Números y tiempo básico,Es muy tarde.,ma guadxi ndi,RT-B-PARTIAL,1,2,1,0,0,False
91,Expresiones de cortesía y afecto,Con permiso.,zanda tide la',RT-B-PARTIAL,2,1,3,0,0,False
92,Expresiones de cortesía y afecto,Está bien.,jneza,RT-E-PRESERVE,1,0,0,0,0,False
93,Expresiones de cortesía y afecto,No hay problema.,cadi guiza ladxu,RT-B-PARTIAL,1,2,1,0,0,False
94,Expresiones de cortesía y afecto,Qué bonito.,pabia sicaru,RT-B-PARTIAL,1,1,0,0,0,False
95,Expresiones de cortesía y afecto,Me gusta mucho este lugar.,nabe riu'ladxe rari,RT-B-PARTIAL,1,2,0,0,0,False
96,Expresiones de cortesía y afecto,Quiero aprender más.,guizide shcadxi,RT-E-PRESERVE,0,2,0,0,0,False
97,Negación y rechazo,No.,co,RT-E-PRESERVE,1,0,0,0,0,False
98,Negación y rechazo,No sé.,qui gana,RT-B-PARTIAL,1,1,1,0,0,False
99,Negación y rechazo,No entiendo.,qui riene,RT-E-PRESERVE,2,0,1,0,0,False
100,Negación y rechazo,No lo conozco.,qui rune' biaya,RT-B-PARTIAL,2,1,1,0,0,False
101,Negación y rechazo,No hablo zapoteco.,qui rinie didxa'zaa,RT-B-PARTIAL,1,2,1,0,0,False
102,Negación y rechazo,Todavía no.,caru'ma di,RT-B-PARTIAL,1,1,0,0,0,False
103,Negación y rechazo,Ya no.,ma' co,RT-E-PRESERVE,2,0,1,0,0,False
104,Negación y rechazo,No tengo.,qui gapa,RT-E-PRESERVE,2,0,1,0,0,False
105,Negación y rechazo,"No, gracias.",co' diuxhquixhe lii,RT-B-PARTIAL,2,1,0,0,0,False
106,Negación y rechazo,No me gusta.,qui riu ladxe',RT-B-PARTIAL,2,1,1,0,0,False
107,Negación y rechazo,No quiero.,co,RT-E-PRESERVE,1,0,0,0,0,False
