ID,Language_ID,Headword,Part_Of_Speech,Attribution,Additional_Information,PDLMA
b,jzd,b́ˤ,smb,RGL;RLC,,!b:
bh,jzd,b̤́ˤ,smb,RGL;RLC,,!b: H
p,jzd,ṕˤ,smb,RGL;RLC,,!p:
rrunrrun,jzd,ŕrun rruń,smb,EJG;RLC,,!rrun rrun!
dingdingding,jzd,̃díng ̃díng ̃díng,smb,RLC,,&di!ng &di!ng &di!ng
gucha7chigiu,jzd,((g)(u)chachí') guíu,s,EJG;JLC;VP,,((g)(u)-cha7chí') gi!u
guchachi7orkidi,jzd,((g)(u)chachí') orquìdi,s,JLC,,((g)(u)-chachi!7) orki*di
hbabababammm,jzd,(̤)ba ba ba ba mmm,smb,RGL,,(H)ba ba ba ba mmm
bendalutapa7,jzd,(benda lu) tapá',s,JLC,,(benda lu) tapa!7
berezhiga,jzd,(bere)xìga,s,EJG;JLC;ND;RLC;VC;VP,,(bere=)zhi*ga
bigosebuubu,jzd,(bigosè) buùbù',s,EJG;JLC;ND;VC;VP,,(bi-gose*) buu*bu*
dunabe,jzd,(dú) nabé,av,EJG;JLC;ND;RLC;VP,,(du!) na+ be!
genda,jzd,(gu)(e)nda,nmr,EJG;ND;VP,,(g)(e)nda+
gendabyaani,jzd,(gu)(e)ndabiaani',nom,EJG;JLC;ND;RGL;RLC;VP,,(g)(e)nda+ b.y.aani
gendabinnigwe7,jzd,(gu)(e)ndabinnigüé',nom,EJG;RGL;RLC,,(g)(e)nda+ binni=gwe!7
gendagorrda,jzd,(gu)(e)ndagòrrda,nom,RLC,,(g)(e)nda+ go*rrda
gendakeryabayu,jzd,(gu)(e)ndaquériabayu,nom,RGL,,(g)(e)nda+ ke!+ r.yaba=yu
gendananna,jzd,(gu)(e)ndanannà,nom,RLC,,(g)(e)nda+ n.anna*
gendanalase7,jzd,(gu)(e)ndanalasé',nom,RGL;RLC,,(g)(e)nda+ na-lase!7
gendanaro7,jzd,(gu)(e)ndanaró',nom,RLC,,(g)(e)nda+ na-ro!7
gendanaro7ba,jzd,(gu)(e)ndanaró'ba',nom,RGL;VC,,(g)(e)nda+ na-ro!7ba
gendanawiini,jzd,(gu)(e)ndanahuiini',nom,RGL;RLC,,(g)(e)nda+ na-wiini
gendanayaawi,jzd,(gu)(e)ndanayaàhuì',nom,RGL;RLC,,(g)(e)nda+ na-yaa*wi*
gendanazhii,jzd,(gu)(e)ndanaxiì,nom,RGL;RLC,,(g)(e)nda+ na-zhii*
gendaranna1,jzd,(gu)(e)ndarannà,nom,RGL;VC,,(g)(e)nda+ r.anna*
gendaranna2,jzd,(gu)(e)ndarannà,nom,RGL;VC,,(g)(e)nda+ r.anna*
gendarasi,jzd,(gu)(e)ndarasi,nom,RGL;RLC,,(g)(e)nda+ r.asi
gendare7,jzd,(gu)(e)ndare',nom,EJG;JLC;ND;RGL;RLC;VP,,(g)(e)nda+ r.e7
gendarusya,jzd,(gu)(e)ndarusià,nom,RGL,,(g)(e)nda+ r.u-s.ya*
gendarusyaatrompu,jzd,(gu)(e)ndarusiaà tròmpu,nom,RLC,,(g)(e)nda+ r.u-syaa* tro*mpu
gendaruxyazhi7,jzd,(gu)(e)ndaruxhiaxí',nom,RGL,,(g)(e)nda+ r.u-x.ya=zhi!7
gendaruniwantar,jzd,(gu)(e)ndaruni huantár,nom,RGL;RLC,,(g)(e)nda+ r.uni wan-ta!r
gendaruwi7diidxa,jzd,(gu)(e)ndaruhui' diidxa',nom,ND;RGL,,(g)(e)nda+ r.uwi7 diidxa
gendarikaabi,jzd,(gu)(e)ndaricaà bi,nom,RGL;VC,,(g)(e)nda+ ri-kaa* bi
gendarindaabiike,jzd,(gu)(e)ndarindaabi' ique,nom,RGL;VC,,(g)(e)nda+ ri-ndaabi ike
gendasikaru,jzd,(gu)(e)ndasica rù,nom,RGL,,(g)(e)nda+ sika ru*
gendaxxeela,jzd,(gu)(e)ndaxheela',nom,EJG;ND;RLC;VP,,(g)(e)nda+ x.xeela
guchachi7,jzd,(g)(u)chachí',s,EJG;JLC;ND;RLC;VP,,(g)(u)-chachi!7
guchachi7giinya,jzd,(g)(u)chachí' guiiña',s,JLC,,(g)(u)-chachi!7 giinya
guchachi7gixe,jzd,(g)(u)chachí' guixhe,s,EJG;JLC;ND;VP,,(g)(u)-chachi!7 gixe
gaba,jzd,(g)ábá,av,EJG;JLC;RLC;VC,,(g)a!-ba!
gabati7,jzd,(g)ábátí',av,EJG;JLC;ND;RLC;VC;VP,av:loc,(g)a!-ba! +ti!7
gadxagaya7,jzd,(g)adxagaya',s,EJG;JLC;ND;RGL;VC;VP,,(g)a-dxaga=ya7
ganiw,jzd,(g)aníu,s,JLC;RGL;VP,,(g)a-ni!w
ganiwdechonnaarrgoya,jzd,(g)aníu de chonnà arrgòya,s,RGL,,(g)a-ni!w  de chonna* arrgo*ya
ganiwdegye,jzd,(g)aníu de guie,s,RGL;RLC,,(g)a-ni!w de gye
ganiwdemanita,jzd,(g)aníu de manìta,s,JLC;RGL;RLC,,(g)a-ni!w de mani*ta
ganiwderekwerrdu,jzd,(g)aníu de recuèrrdu,s,RGL;RLC,,(g)a-ni!w de rekwe*rrdu
gayugu,jzd,ga yùgu,s,RGL,,(g)a-yu*gu
gadxipigadxi7,jzd,(g)adxì pi gadxi',clq,EJG;ND;RGL;VC,,(g)adxi* pi gadxi7
gamusa,jzd,(g)amùsa,s,JLC,,(g)amu*sa
gendachipi,jzd,(gu)endachìpi,nom,RGL,,(g)enda+ chi*pi
gendananda7,jzd,(gu)endanandá',nom,EJG;JLC;ND;VP,,(g)enda+ na-nda!7
gendanayaabi,jzd,(gu)endanayaabi',nom,VC,,(g)enda+ na-yaabi
gendarulaa,jzd,(gu)endarulaa,nom,RGL;RLC,,(g)enda+ r.u-laa
gendaruru,jzd,(gu)endaruru,nom,RGL;RLC,,(g)enda+ r.u-ru
gendasinberwensa,jzd,(gu)endasinberhuènsa,nom,RGL,,(g)enda+ sinberwe*nsa
gendawara,jzd,(gu)endahuara,nom,EJG;JLC;RGL;RLC;VP,,(g)enda+ wa-ra
giru7ti7,jzd,(gu)írútí',prn,JLC;RLC;VP,prn:rel,(g)i! +ru!7 +ti!7
gigudxa,jzd,(Gu)igudxa,s,JLC,,(g)i-gudxa
gizii,jzd,(gu)izii,s,EJG;JLC;RLC;VP,,(g)i-zii
gichalaga,jzd,(gu)icha laga,s,EJG;JLC;ND;RGL;RLC;VP,,(g)icha laga
gidxaga,jzd,(gu)idxaga,s,EJG;JLC;ND;RGL;RLC;VC;VP,,(g)idxa=ga
gintiika,jzd,(gu)intiicà',prn,EJG;JLC;ND;RLC;VC;VP,prn:ndf-i,(g)in+ tii +ka*
gintiisi,jzd,(gu)intiisì',prn,JLC;ND;RLC;VC;VP,prn:ndf-i,(g)in+ tii +si*
gintarra,jzd,(gu)intàrra,s,RGL,,(g)inta*rra
guba1,jzd,(g)ubà,s,EJG;JLC;RGL;RLC;VP,,(g)u-ba*
guba2,jzd,(g)ubà,s,EJG;JLC;RGL;RLC;VP,,(g)u-ba*
gubinya,jzd,(g)ubìña,s,VP,,(g)u-bi*nya
guragu7,jzd,(g)uragú',s,JLC;RGL;RLC;VP,,(g)u-ragu!7
guragu7yaana,jzd,(g)uragú' yaana',s,EJG;JLC;RGL,,(g)u-ragu!7 yaana
guryanisado7,jzd,(g)uriá nisa do',s,JLC;RLC,s:rel,(g)u-rya! nisa do7
guxaru,jzd,(g)uxhàrù,s,EJG;JLC;ND;RGL;VP,,(g)u-xa*ru*
guxarudxinya,jzd,(g)uxhàrù dxiña,s,JLC,,(g)u-xa*ru* dxinya
guxaruyaa,jzd,(g)uxhàrù yaa,s,JLC,,(g)u-xa*ru* yaa
guxaruyu,jzd,(g)uxhàrù yu,s,JLC,,(g)u-xa*ru* yu
guyaga7,jzd,(g)uyagá',s,JLC,,(g)u-yaga!7
guzibayooxo,jzd,(g)uzibà yooxho',s,RLC,,(g)u-ziba* yooxo
gendarigite,jzd,(gue)(nda)riguite,nom,JLC;RGL,,(ge)(nda)+ ri-g.ite
gendaridxiichi,jzd,(gue)nda ridxiichì',nom,JLC,,(ge)nda ri-dxiichi*
gendabi7chi,jzd,(gue)ndabi'chi',nom,JLC,,(ge)nda+ bi7chi
gendacha7ka,jzd,(gue)ndachá'ca',nom,RGL,,(ge)nda+ cha!7ka
gendachago7la,jzd,(gue)ndachago'la',nom,RLC,,(ge)nda+ cha-go7la
gendaga7na,jzd,(gue)ndagá'na',nom,JLC,,(ge)nda+ ga!7na
gendagidxa,jzd,(gue)ndaguidxa,nom,EJG;JLC;ND,,(ge)nda+ gidxa
gendala7sisi,jzd,(gue)ndalá'si'sì,nom,RLC,,(ge)nda+ la!7si +si*
gendanananda,jzd,(gue)ndanananda,nom,JLC,,(ge)nda+ na-nanda
gendanazaaka,jzd,(gue)ndanazaacà',nom,JLC,,(ge)nda+ na-zaaka*
gendarakalu,jzd,(gue)ndaraca lu,nom,RLC,,(ge)nda+ r.aka lu
gendarannala7dxi,jzd,(gue)ndaranna la'dxi',nom,JLC,,(ge)nda+ r.anna la7dxi
gendarati,jzd,(gue)ndaratì,nom,JLC;VP,,(ge)nda+ r.ati*
gendaraze,jzd,(gue)ndaraze,nom,JLC,,(ge)nda+ r.aze
gendaro,jzd,(gue)ndaro,nom,EJG;JLC;ND;VP,,(ge)nda+ r.o
gendaroechu,jzd,(gue)ndaro èchu,nom,RGL,,(ge)nda+ r.o e*chu
gendarogeta,jzd,(gue)ndaro gueta,nom,JLC;RGL,,(ge)nda+ r.o geta
gendaroxxi,jzd,(gue)ndaroxhì,nom,JLC;ND;RGL;VP,,(ge)nda+ r.o=x.xi*
gendaroyaa1,jzd,(gue)ndaroyaa,nom,EJG;JLC;RLC,,(ge)nda+ r.o=yaa
gendaroyaa2,jzd,(gue)ndaroyaa,nom,EJG;JLC;RLC,,(ge)nda+ r.o=yaa
gendaruchaaze,jzd,(gue)ndaruchaaze',nom,,,(ge)nda+ r.u-ch.aaze
gendaruchaa,jzd,(gue)ndaruchaa,nom,JLC,,(ge)nda+ r.u-chaa
gendarukizhe,jzd,(gue)ndaruquixe,nom,JLC;RGL,,(ge)nda+ r.u-k.izhe
gendarule,jzd,(gue)ndarule,nom,,,(ge)nda+ r.u-le
gendaruzhidxi,jzd,(gue)ndaruxidxì,nom,JLC,,(ge)nda+ r.u-zhidxi*
gendaruzhoonye,jzd,(gue)ndaruxooñe',nom,JLC;ND,,(ge)nda+ r.u-zhoonye
gendaribiibiyaga,jzd,(gue)ndaribiibì' yaga,nom,JLC;RGL,,(ge)nda+ ri-b.iibi* yaga
gendaribagu,jzd,(gue)ndaribagu,nom,JLC,,(ge)nda+ ri-bagu
gendaridaabi,jzd,(gue)ndaridaabi',nom,JLC;RGL,,(ge)nda+ ri-d.aabi
gendaridinde,jzd,(gue)ndaridindè,nom,JLC,,(ge)nda+ ri-dinde*
gendaridxaga,jzd,(gue)ndaridxaga,nom,JLC,,(ge)nda+ ri-dxaga
gendaridxagaxkaanda,jzd,(gue)ndaridxaga xcaanda',nom,RGL;RLC,,(ge)nda+ ri-dxaga x.kaanda
gendaridxagayaa,jzd,(gue)ndaridxaga yaa,nom,RGL;RLC,,(ge)nda+ ri-dxaga yaa
gendarigaabi,jzd,(gue)ndarigaabi',nom,JLC,,(ge)nda+ ri-g.aabi
gendariguupallu,jzd,(gue)ndariguu pálu,nom,JLC,,(ge)nda+ ri-g.uu pa!llu
gendarikala7dxido7,jzd,(gue)ndarica la'dxido',nom,JLC,,(ge)nda+ ri-ka la7dxi=do7
gendarindaana,jzd,(gue)ndarindaanà',nom,JLC,,(ge)nda+ ri-ndaana*
gendariza,jzd,(gue)ndariza,nom,JLC,,(ge)nda+ ri-za
gendarizi7la7dxi,jzd,(gue)ndarizi'la'dxi',nom,JLC;RGL;RLC,,(ge)nda+ ri-zi7=la7dxi
gendaridxagayaa-2,jzd,(gue)ndaridxaga yaa,nom,JLC,,(ge)nda+ ri.dxaga yaa
gendarwaadxe7,jzd,(gue)ndaruaa dxe',nom,JLC,,(ge)nda+ rwaa dxe7
gendawarabidxi,jzd,(gue)ndahuara bidxi,nom,JLC;RLC,,(ge)nda+ wa-ra bidxi
gendawaradela7dxido7,jzd,(gue)ndahuara de la'dxido',nom,JLC,,(ge)nda+ wa-ra de+ la7dxi=do7
gendawaralu,jzd,(gue)ndahuara lu,nom,RLC,,(ge)nda+ wa-ra lu
gendayaawi,jzd,(gue)ndayaàhuì',nom,JLC,,(ge)nda+ yaa*wi*
gendarigitebaraja,jzd,(guenda)riguite baràja,nom,RGL;VC,,(genda+) ri-gite bara*ja
gendarigitepasalotengo,jzd,(guenda)riguite pasalotèngo,nom,RLC,,(genda+) ri-gite pasalote*ngo
gendarigitetala7chi,jzd,(guenda)riguite tala'chi',nom,RGL;RLC,,(genda+) ri-gite ta-la7chi
gendarigitetrompo,jzd,(guenda)riguitebe tròmpo,nom,RGL;RLC,,(genda+) ri-gite tro*mpo
gichazhayannimani7,jzd,(gui)cha (xa)yanni maní',s,JLC;RGL;RLC,,(gi)cha (zha+) yanni mani!7
giza7,jzd,(gui)zá',q,JLC;RGL;VC;VP,,(gi-)za!7
gichaikelaga,jzd,(guicha) ique laga,s,EJG;ND,,(gicha) ike laga
granpendeju,jzd,(grán) pendèju,a,JLC;RLC,,(gra!n) pende*ju
guzhaaya,jzd,(gu)xaàyà',s,VP,,(gu-)zhaa*ya*
ngangaruni,jzd,(ngà) ngà runi,dem,RLC;VP,,(n.ga*) n.ga* r.uni
nacha7wi,jzd,(na)chá'hui',a,EJG;ND;RGL;RLC;VP,a:sim,(na)-cha!7wi
nageenda,jzd,(na)gueèndà',a,EJG;RLC;VP,a:sim,(na)-gee*nda*
nanaande,jzd,(na)naande',a,EJG;JLC;RGL;RLC;VP,a:sim,(na)-naande
naro7,jzd,(na)ró',a,EJG;JLC;ND;RGL;RLC;VP,a:dv1sim,(na)-ro!7
nayati,jzd,(na)yatì,a,JLC;RLC,a:dv1sim,(na)-y.ati*
nazhalle7,jzd,(na)xalé',a,EJG;JLC;RGL;RLC;VP,a:sim,(na)-zh.alle!7
nabyuzhe,jzd,(na)biùxè,a,EJG;JLC;ND;VOT;VP,a:dv1sim,(na-)b.y.u*zhe*
nabaaza,jzd,(na)baazà',a,EJG;VP,a:sim,(na-)baaza*
naballi7,jzd,(na)balí',a,EJG;RLC;VP,a:sim,(na-)balli!7
nabapa,jzd,(na)bapa,a,EJG;JLC;ND;VC;VP,a:sim,(na-)bapa
nabata,jzd,(na)bata,a,EJG;JLC;ND;RGL;VC;VP,a:sim,(na-)bata
nabe7,jzd,(na)bè',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)be*7
nabedxe,jzd,(na)bedxe,a,EJG,a:sim,(na-)bedxe
nabi7chu,jzd,(na)bí'chu',a,EJG;ND,a:sim,(na-)bi!7chu
nabidxu,jzd,(na)bìdxù,a,EJG;RLC;VP,a:sim,(na-)bi*dxu*
nabiru,jzd,(na)bìrù,a,JLC,a:sim,(na-)bi*ru*
nabidxi,jzd,(na)bidxi,a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)bidxi
nabo7nyo,jzd,(na)bó'ño',a,JLC;RLC,a:sim,(na-)bo!7nyo
nabumbu,jzd,(na)bumbù,a,EJG;JLC;ND;VP,a:sim,(na-)bumbu*
nacha7ka,jzd,(na)chá'ca',a,JLC;RGL,a:sim,(na-)cha!7ka
nachaaba,jzd,(na)chaaba',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)chaaba
nachaacha,jzd,(na)chaacha',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)chaacha
nachaande,jzd,(na)chaande',a,EJG;JLC;ND;RGL,a:sim,(na-)chaande
nachaani,jzd,(na)chaani',a,EJG;RLC;VP,a:sim,(na-)chaani
nachacha7,jzd,(na)chachá',a,EJG;JLC;RLC;VC;VP,a:sim,(na-)chacha!7
nachanda,jzd,(na)chandà,a,JLC;RLC,a:sim,(na-)chanda*
nachanga,jzd,(na)changà,a,JLC,a:sim,(na-)changa*
nachangalu,jzd,(na)changàlu,a,RGL;RLC,a:sim,(na-)changa*=lu
nachangazha7na,jzd,(na)changàxa'na',a,EJG,a:sim,(na-)changa*=zha7na
nachangu,jzd,(na)changù,a,RLC,a:dvsim,(na-)changu*
nachendxe,jzd,(na)chendxè,a,ND,a:dvsim,(na-)chendxe*
nachi7,jzd,(na)chì',a,RGL,a:sim,(na-)chi*7
nachichi,jzd,(na)chichì,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)chichi*
nachidxi,jzd,(na)chidxì,a,JLC;RGL;RLC,a:sim,(na-)chidxi*
nachiitulu,jzd,(na)chiìtù' lu,a,RLC,a:dvsim,(na-)chii*tu* # lu
nachiita,jzd,(na)chiità',a,JLC;RGL;RLC,a:sim,(na-)chiita*
nachipa,jzd,(na)chipa,a,EJG;JLC;ND;RLC;VP,a:sim,(na-)chipa
nachipalaga,jzd,(na)chipalaga,a,VC,a:sim,(na-)chipa=laga
nachonga,jzd,(na)chonga,a,EJG;JLC;ND;RGL;RLC;VP,a:dvsim,(na-)chonga
nachoore,jzd,(na)choore',a,EJG;JLC;RGL,a:sim,(na-)choore
nachuga,jzd,(na)chuga,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)chuga
nachuku,jzd,(na)chucu,a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)chuku
nachuuchu,jzd,(na)chuuchu',a,EJG;VC,a:sim,(na-)chuuchu
nachuundu,jzd,(na)chuundu',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)chuundu
nachwi7,jzd,(na)chui',a,EJG;JLC;ND;RGL;VP,a:sim,(na-)chwi7
nada7gu,jzd,(na)dá'gu',a,EJG;JLC;RGL;VP,a:dv1sim,(na-)d.a!7gu
nada,jzd,(na)dà,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)da*
nadachi,jzd,(na)dachì,a,EJG;JLC;RGL;VC;VP,a:sim,(na-)dachi*
nadidi,jzd,(na)didì,a,JLC;RGL,a:dvsim,(na-)didi*
nadidirwaa,jzd,(na)didìruaa,a,FSL;JLC;ND;RGL;RLC,a:dvsim,(na-)didi*=rwaa
nadipa7,jzd,(na)dipá',a,EJG;JLC;RGL;RLC;VP,a:dv1sim,(na-)dipa!7
nado7,jzd,(na)do',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)do7
nado7dxita,jzd,(na)do' dxita,a,JLC;RGL;RLC,a:sim,(na-)do7 dxita
nadopa,jzd,(na)dopà,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)dopa*
naduxu7,jzd,(na)duxhú',a,JLC;ND;RGL;RLC;VP,a:dv1sim,(na-)duxu!7
naduxu7bizu,jzd,(na)duxhú' bizu,a,JLC;RGL,a:dv1sim,(na-)duxu!7 bizu
naduxu7lu,jzd,(na)duxhú' lu,a,RGL;RLC,a:dv1sim,(na-)duxu!7 lu
nadxi7badi,jzd,(na)dxi'ba' dì,a,FSL,a:dvsim,(na-)dx.i7ba di*
nadxa7,jzd,(na)dxá',a,EJG;JLC;VC,a:dv1sim,(na-)dxa!7
nadxaa,jzd,(na)dxaà,a,EJG;ND;RGL;RLC;VP,a:sim,(na-)dxaa*
nadxaaga,jzd,(na)dxaàgà',a,EJG;JLC;ND;RGL;VP,a:dv1sim,(na-)dxaa*ga*
nadxaba7,jzd,(na)dxabá',a,JLC;RGL;RLC;VP,a:sim,(na-)dxaba!7
nadxe7,jzd,(na)dxe',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)dxe7
nadxi7nya,jzd,(na)dxí'ña',a,EJG;JLC;RGL;RLC;VP,a:sim,(na-)dxi!7nya
nadxiibi,jzd,(na)dxiìbì',a,EJG;VP,a:dvsim,(na-)dxii*bi*
nadxiichi,jzd,(na)dxiìchì',a,JLC;RGL,a:dv1sim,(na-)dxii*chi*
nadxiibi-2,jzd,(na)dxiibi',a,EJG;JLC;VC;VP,a:sim,(na-)dxiibi
nadxunu7,jzd,(na)dxunú',a,EJG;JLC;RGL;RLC;VP,a:dv1sim,(na-)dxunu!7
naga7nda,jzd,(na)gá'nda',a,EJG;JLC;ND;RGL;RLC;VP,a:dv1sim,(na-)g.a!7nda
nagete7,jzd,(na)gueté',a,RLC,a:dv1sim,(na-)g.ete!7
naga7chi,jzd,(na)gá'chi',a,EJG;JLC;ND;RGL;VP,a:dv1sim,(na-)ga!7chi
nagaa,jzd,(na)gaa,a,EJG;JLC;RGL;RLC;VP,a:sim,(na-)gaa
nagidxa,jzd,(na)guìdxa,a,EJG;RGL;RLC;VP,a:sim,(na-)gi*dxa
nagibi7,jzd,(na)guibí',a,EJG;RLC;VP,a:dv1sim,(na-)gibi!7
nagola,jzd,(na)gòla,a,JLC;RGL;VP,a:sim,(na-)go*la
nagudaa,jzd,(na)gudaà,a,JLC,a:sim,(na-)gu-daa*
naguude,jzd,(na)guùdè',a,EJG;RGL;RLC,a:dv1sim,(na-)guu*de*
naguudxi,jzd,(na)guùdxì',a,EJG;ND;RGL;VP,a:sim,(na-)guudxi*
nagwi,jzd,(na)güí,a,EJG;JLC;RGL;RLC;VP,a:dv1sim,(na-)gwi!
nakaanga,jzd,(na)caanga',a,EJG;JLC;RGL;VC;VP,a:sim,(na-)kaanga
nakaawa,jzd,(na)caahua',a,ND;RGL;RLC,a:sim,(na-)kaawa
nakawi,jzd,(na)cahuì,a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)kawi*
nakeebe,jzd,(na)queebe',a,EJG;JLC;RGL;RLC;VC;VP,a:sim,(na-)keebe
nakubi,jzd,(na)cùbi,a,EJG;JLC;ND;RLC;VP,a:sim,(na-)ku*bi
nakuuxu,jzd,(na)cuuxhu',a,EJG;JLC;ND;RGL;VP,a:sim,(na-)kuuxu
nakwaatadyaga,jzd,(na)cuaata' diaga,a,EJG;JLC;RGL;VP,a:sim,(na-)kwaata dyaga
nakwanda,jzd,(na)cuandà,a,EJG;RLC;VP,a:sim,(na-)kwanda*
nakwexke,jzd,(na)cuexhquè,a,EJG;JLC,a:sim,(na-)kwexke*
nala,jzd,(na)là,a,EJG;JLC;ND;RLC;VP,a:sim,(na-)la*
nalagalu,jzd,(na)laga (lu),a,EJG;RLC;VP,a:dvsim,(na-)laga (lu)
nalase7,jzd,(na)lasé',a,EJG;RGL;RLC;VP,a:dv1sim,(na-)lase!7
nalisu,jzd,(na)lìsu,a,JLC;RGL;RLC;VP,a:sim,(na-)li*su
naliibi,jzd,(na)liìbì',a,JLC;ND;RGL,a:dv1sim,(na-)lii*bi*
nalilli,jzd,(na)lilì,a,EJG;JLC;ND;RGL;VC;VP,,(na-)lilli*
nalollo,jzd,(na)lolò,a,VC,a:sim,(na-)lollo*
nalote,jzd,(na)lotè,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)lote*
nalugu7,jzd,(na)lugú',a,EJG,a:sim,(na-)lugu!7
naluzhu,jzd,(na)luxu,a,EJG;JLC;ND;RGL,a:sim,(na-)luzhu
nama7,jzd,(na)má',a,RLC;VC,a:sim,(na-)ma!7
namboolo,jzd,(na)mboolo',a,EJG;JLC;ND;RGL;VP,a:sim,(na-)mboolo
namiizi,jzd,(na)miìzì',a,EJG;JLC;ND;RLC;VP,a:sim,(na-)mii*zi*
namona,jzd,(na)mòna,a,JLC;ND;RGL;RLC;VP,a:sim,(na-)mo*na
namono,jzd,(na)mòno,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)mo*no
nananda,jzd,(na)nanda,a,EJG;JLC;RLC;VP,a:dvsim,(na-)n.anda
nanwi,jzd,(na)nuì,a,EJG;JLC;ND;VP,a:sim,(na-)n.wi*
nanaa,jzd,(na)naà,a,EJG;JLC;ND;RGL;RLC;VP,a:dvsim,(na-)naa*
nanaadi,jzd,(na)naadi',a,EJG;JLC;RGL;RLC;VP,a:sim,(na-)naadi
nanana,jzd,(na)nanà,a,EJG;JLC;RLC;VP,a:sim,(na-)nana*
nanaxi,jzd,(na)naxhi,a,EJG;ND;RLC;VP,a:sim,(na-)naxi
nanazha,jzd,(na)naxà,a,RLC,a:sim,(na-)nazha*
nandase,jzd,(na)ndase,a,EJG;FSL;JLC;ND;RGL;RLC,a:sim,(na-)nd.ase
nanda7,jzd,(na)ndá',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)nda!7
nanda7-2,jzd,(na)ndà',a,EJG;RLC;VP,a:sim,(na-)nda*7
nandaawi,jzd,(na)ndaàhuì',a,JLC;RLC;VP,a:sim,(na-)ndaa*wi*
nandaaga,jzd,(na)ndaaga',a,VP,a:sim,(na-)ndaaga
nandi7,jzd,(na)ndì',a,EJG;FSL;VC,a:sim,(na-)ndi*7
nandi7do7lu,jzd,(na)ndì' do' lu,a,EJG;VC,a:sim,(na-)ndi*7 do7 lu
nandi7na7,jzd,(na)ndì' nà',a,VP,a:sim,(na-)ndi*7 na*7
nandxo7,jzd,(na)ndxó',a,JLC;RGL;VP,a:sim,(na-)ndxo!7
nani7di,jzd,(na)ní'di',a,EJG;JLC;RGL;VP,a:sim,(na-)ni!7di
napaaparwaa,jzd,(na)paapa' ruaa,a,EJG;JLC;ND;RGL;VP,a:sim,(na-)paapa rwaa
napaaxu,jzd,(na)paaxhù',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)paaxu*
napandu,jzd,(na)pandu,a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)pandu
napiirri,jzd,(na)piìrrì',a,JLC;RGL,a:sim,(na-)pii*rri*
napiixku,jzd,(na)piìxhcù',a,EJG,a:sim,(na-)pii*xku*
napiizi,jzd,(na)piìzì',a,JLC;ND;VP,a:sim,(na-)pii*zi*
napiipi,jzd,(na)piipì',a,EJG;JLC;ND;VP,a:sim,(na-)piipi*
napiiru,jzd,(na)piiru',a,EJG;VP,a:sim,(na-)piiru
napoota,jzd,(na)poòtà',a,EJG,a:sim,(na-)poo*ta*
napuupu,jzd,(na)puupu',a,JLC;ND;VP,a:sim,(na-)puupu
naridxi7,jzd,(na)ridxí',a,EJG;RLC;VC;VP,a:sim,(na-)r.idxi!7
naraa,jzd,(na)raà,a,EJG,a:sim,(na-)raa*
naraaya,jzd,(na)raaya',a,EJG;JAR;RGL;RLC;VP,a:sim,(na-)raaya
naracha,jzd,(na)racha,a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)racha
narangu,jzd,(na)rangù,a,EJG;VC;VP,a:sim,(na-)rangu*
narazhi,jzd,(na)raxi,a,JLC;RLC;VC;VP,a:sim,(na-)razhi
narenda,jzd,(na)rèndà,a,EJG;JLC;RGL;VP,a:dv1sim,(na-)re*nda*
naredxe7,jzd,(na)redxé',a,EJG;JLC;ND;RGL;RLC,a:sim,(na-)redxe!7
nareeche,jzd,(na)reèchè',a,JLC;RGL;VP,a:dv1sim,(na-)ree*che*
nareela,jzd,(na)reelà',a,EJG;RLC;VP,a:sim,(na-)reela*
nari7ni,jzd,(na)rí'ni',a,EJG;JLC;ND;RGL;RLC;VP,a:sim,(na-)ri!7ni
naripi,jzd,(na)ripi,a,EJG,a:sim,(na-)ripi
nariri7,jzd,(na)rirí',a,EJG,"a:sim, dsp",(na-)riri!7
naro7ba,jzd,(na)ró'ba',a,EJG;JLC;RGL;RLC;VP,a:dv1sim,(na-)ro!7ba
narolla,jzd,(na)rolà,a,EJG,a:sim,(na-)rolla*
naroo,jzd,(na)roo,a,EJG;ND;RGL,a:sim,(na-)roo
narrechu,jzd,(na)rrèchu,a,EJG;VC,a:sim,(na-)rre*chu
narreempa,jzd,(na)rreèmpà',a,EJG;JLC;RLC,a:sim,(na-)rree*mpa*
